"","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"69","GBR","2015",1.8,82.626,2764.51667133806,53.1808559978118,496299.987792969,6011000,,100.47,252.370653801364,44480,"United Kingdom",65116219
"70","GEO","2015",2.204,57.448,,21.9606757130989,17149.9996185303,367700,,102.85,64.466820777808,4410,"Georgia",3725276
"71","GHA","2015",4.05,54.086,,38.847793925681,31610.0006103516,2746800,,102.61,40.6290956749672,1870,"Ghana",28870939
"72","GIB","2015",2.186,100,,100,,,,,,,"Gibraltar",32520
"73","GIN","2015",5.022,35.141,,,22850.0003814697,3100000,,99.22,0.912825806451613,750,"Guinea",11625998
"74","GMB","2015",5.314,59.228,,,2349.99990463257,440000,,101.45,0.540931818181818,580,"Gambia, The",2253133
"75","GNB","2015",4.671,42.123,,,2380.00011444092,300000,,98.88,,620,"Guinea-Bissau",1788919
"76","GNQ","2015",4.774,70.616,,,14270.0004577637,135700,,105.85,,9410,"Equatorial Guinea",1346973
"77","GRC","2015",1.33,78.046,2182.07109345882,71.1280923160048,88449.9969482422,2171000,1.89577996730804,99.69,118.272685398434,20190,"Greece",10820883
"78","GRD","2015",2.126,35.997,,,2289.99996185303,3000,,99.67,,7140,"Grenada",118980
"79","GRL","2015",2.01,86.071,,,,,3.10848999023438,,,,"Greenland",56114
"80","GTM","2015",3.029,49.971,,39.6093326098752,30790.0009155273,862000,,99.02,340.36373549884,3700,"Guatemala",15567419
"81","GUM","2015",2.922,94.534,,,,1000,,,,,"Guam",167978
"82","GUY","2015",2.534,26.441,,,4849.99990463257,420000,,100.89,60.9939523809524,5560,"Guyana",755031
"83","HKG","2015",1.196,100,,99.7212726794636,,3100,,96.2,2394.76129032258,41180,"Hong Kong SAR, China",7291300
"84","HND","2015",2.581,55.165,,57.7244841048522,21229.9995422363,1020000,,100.52,131.648941176471,2020,"Honduras",9294505
"85","HRV","2015",1.41,56.155,,33.1731624844278,22610.0006103516,843700,,96.44,181.786179921773,13310,"Croatia",4203604
"86","HTI","2015",3.108,52.427,,92.0038535645472,10090.0001525879,1070000,,99.8,,1430,"Haiti",10563757
"87","HUN","2015",1.45,70.5,2432.75179142028,36.5598839891899,58479.9995422363,4324000,7.92050981521606,101.36,114.147548566142,13230,"Hungary",9843028
"88","IDN","2015",2.345,53.313,,89.3445705689278,849510.009765625,23800000,0.348459988832474,99.13,255.987393697479,3420,"Indonesia",259091970
"89","IMN","2015",1.711,52.245,,,,23200,,,,83630,"Isle of Man",83593
"90","IND","2015",2.287,32.777,,81.8920986490278,3064540.0390625,156413000,,99.76,171.038212936265,1590,"India",1322866505
"91","INX","2015",,,,,,,,,,,"Not classified",
"92","IRL","2015",1.85,62.538,2819.87585169324,62.8065055695932,63430.0003051758,453000,,100.29,1292.76079470199,50280,"Ireland",4701957
"93","IRN","2015",2.053,73.358,,93.8567452865486,844140.014648438,14687000,,96.61,47.4770681555117,5480,"Iran, Islamic Rep.",81790841
"94","IRQ","2015",4.09,69.921,,50.1494442993529,253929.992675781,5000000,,98.87,15.46921,5460,"Iraq",37757813
"95","ISL","2015",1.8,93.7,17478.8930368937,0.0212777275386989,3309.99994277954,121000,,100.27,147.752066115702,49940,"Iceland",330815
"96","ISR","2015",3.09,92.179,2777.87532368349,97.6691682496185,87230.0033569336,297200,13.2653903961182,99.96,243.606998654105,36640,"Israel",8380100
"97","ITA","2015",1.35,69.565,2481.75464546017,60.2467662539689,414250,6601000,,101.51,134.126950462051,33000,"Italy",60730582
"98","JAM","2015",1.588,54.833,,89.7379912663755,8590.00015258789,120000,,98.08,37.8303333333333,4870,"Jamaica",2794445
"99","JOR","2015",3.175,90.256,,99.0322919953718,34959.9990844727,227900,,96.91,176.928477402369,3860,"Jordan",9494246
"100","JPN","2015",1.45,91.381,3428.55721600428,80.2593729534245,1270469.97070313,4205000,,99.63,225.326991676576,39380,"Japan",127141000
"101","KAZ","2015",2.74,57.191,,91.1259721230792,250220.001220703,29601100,,100.01,4.29544847995514,11380,"Kazakhstan",17542806
"102","KEN","2015",3.8,25.658,,12.4857527717335,65910.0036621094,5800000,,99.19,38.8848655172414,1330,"Kenya",46851488
"103","KGZ","2015",3.2,35.777,,14.8119723714505,16610.0006103516,1280600,,99.74,10.4035842573794,1180,"Kyrgyz Republic",5956900
"104","KHM","2015",2.55,22.188,,53.5819877188992,31139.9993896484,3876000,0.334820002317429,98.54,30.1696620227038,1070,"Cambodia",15417523
"105","KIR","2015",3.53,51.619,,,90.0000035762787,2000,,100.05,,3280,"Kiribati",116707
"106","KNA","2015",,30.827,,,330.000013113022,5000,,103.81,5.172,18370,"St. Kitts and Nevis",47790
"107","KOR","2015",1.239,81.634,5413.34785665856,67.724397606814,683859.985351563,1464500,3.31423997879028,101.56,337.8127893479,28720,"Korea, Rep.",51014947
"108","KWT","2015",2.16,100,,100,125980.003356934,7700,0.325019985437393,92.89,1204.51818181818,41040,"Kuwait",3908743
"109","LAO","2015",2.766,33.108,,,19260.0002288818,1506700,,111.91,,1970,"Lao PDR",6787419
"110","LBN","2015",2.178,88.106,,97.3961730811046,32880.0010681152,133000,,100.5,265.57007518797,7440,"Lebanon",6398940
"111","LBR","2015",4.523,49.82,,,2240.00000953674,500000,,100.43,,630,"Liberia",4612329
"112","LBY","2015",2.711,79.27,,100,90010.0021362305,1720000,,101.4,15.6729534883721,8690,"Libya",6192235
"113","LCA","2015",1.473,18.515,,,829.999983310699,2670,,100.98,263.123595505618,8890,"St. Lucia",175623
"114","LIE","2015",1.4,14.303,,,170.000001788139,1480,,,,,"Liechtenstein",37355
"115","LKA","2015",2.091,18.256,,51.5248065543924,33279.9987792969,1300000,,99.15,190.095053846154,3920,"Sri Lanka",20970000
"116","LSO","2015",3.264,26.908,,,2339.99991416931,219000,,99.62,,1280,"Lesotho",2118521
"117","LTU","2015",1.7,67.23,,52.9356505401597,18870.0008392334,2171900,15.116250038147,102.01,122.582070997744,15190,"Lithuania",2904910
"118","LUX","2015",1.47,90.179,6548.40555894973,62.6596543951916,10119.9998855591,62800,,101.08,242.675159235669,73530,"Luxembourg",569604
"119","LVA","2015",1.7,67.98,,49.8283029098138,11569.9996948242,1229800,14.3483295440674,100.14,104.759310456985,15110,"Latvia",1977527
"120","MAC","2015",1.196,100,,,,,,81.89,,60760,"Macao SAR, China",615239
"121","MAF","2015",2.558,,,,,,,,,,"St. Martin (French part)",35020
"122","MAR","2015",2.531,60.809,,81.4665801427644,81459.9990844727,7497300,,103.07,70.4916236511811,3360,"Morocco",34680458
"123","MCO","2015",,100,,,,,,,,,"Monaco",36760
"124","MDA","2015",1.868,42.49,,94.6314234115909,12550.0001907349,1733000,1.15074002742767,101.94,30.2023658395845,3290,"Moldova",2835978
"125","MDG","2015",4.183,35.193,,,28340.0001525879,3000000,,100.18,7.53102333333333,470,"Madagascar",24850912
"126","MDV","2015",1.99,38.529,,,1659.9999666214,3900,,100.39,61.1794871794872,7990,"Maldives",435582
"127","MEX","2015",2.137,79.285,1559.11899782985,80.8760100019927,667049.987792969,22048000,1.76868999004364,99.86,81.3232247822932,10310,"Mexico",120149897
"128","MHL","2015",,75.811,,,189.999997615814,2000,,,,4980,"Marshall Islands",49410
"129","MKD","2015",1.49,57.408,,64.0630534891959,10420.0000762939,414000,,96.21,66.2455555555555,5130,"North Macedonia",2070226
"130","MLI","2015",6.385,39.991,,,35549.9992370605,6411000,0.100000001490116,100.27,27.4953018249883,770,"Mali",18112907
"131","MLT","2015",1.37,94.414,,92.3254029163469,2180.0000667572,8970,4.0480899810791,98.25,92.2396878483835,25230,"Malta",445053
"132","MMR","2015",2.248,29.858,,41.1458985597996,105680.000305176,10932999.9,,101.31,13.320719960859,1200,"Myanmar",51483949
"133","MNE","2015",1.74,65.806,,50.3496503496504,3609.99989509583,8700,,95.83,262.16091954023,7260,"Montenegro",622159
"134","MNG","2015",3.01,68.23,,96.916379466715,45450.0007629395,1328110,,114.07,17.4646678362485,3850,"Mongolia",2964749
"135","MNP","2015",,91.357,,,,250,,,,,"Northern Mariana Islands",51514
"136","MOZ","2015",5.062,34.4,,13.5891126399839,31309.9994659424,5650000,,96.1,4.55812212389381,650,"Mozambique",26843246
"137","MRT","2015",4.813,51.089,,,13130.0001144409,400000,,101.31,,1690,"Mauritania",3946220
"138","MUS","2015",1.36,41,,77.2772772772773,6380.00011444092,75000,,99.87,183.836133333333,10140,"Mauritius",1262605
"139","MWI","2015",4.452,16.313,,,8119.99988555908,3600000,,101.64,42.6524638888889,350,"Malawi",16938942
"140","MYS","2015",2.039,74.213,,90.0428315447999,293609.985351563,825310,,100.59,1896.16410803213,10400,"Malaysia",31068833
"141","NAM","2015",3.604,46.9,,2.21354166666667,11720.0002670288,800000,,97.88,13.7351875,5380,"Namibia",2282704
"142","NCL","2015",2.06,69.379,,,,5970,,111.55,257.621440536013,,"New Caledonia",269460
"143","NER","2015",7.211,16.247,,99.2467043314501,35849.9984741211,16800000,,104.17,0.406191071428571,550,"Niger",20128124
"144","NGA","2015",5.616,47.838,,81.8048749443136,279339.996337891,35000000,,101.97,8.21552342857143,2850,"Nigeria",183995785
"145","NIC","2015",2.48,57.895,,49.9454029264031,18250,1504000,,98.44,57.8174534574468,1870,"Nicaragua",6298598
"146","NLD","2015",1.66,90.173,4233.04385740124,82.2331243753975,186449.996948242,1042000,9.33086967468262,101.64,266.804548944338,49300,"Netherlands",16939923
"147","NOR","2015",1.72,81.091,5817.63660265655,1.93021219827407,49270.0004577637,807141,8.9213399887085,99.64,204.29268244334,92910,"Norway",5188607
"148","NPL","2015",2.25,18.557,,0,36259.9983215332,2113700,,98.19,74.1141410796234,870,"Nepal",27610325
"149","NRU","2015",,100,,,59.9999986588955,,,99.78,,12690,"Nauru",11185
"150","NZL","2015",1.99,86.341,4431.51473076756,19.7896165592128,82190.0024414063,478000,3.66190004348755,101.66,1786.00543933054,40660,"New Zealand",4609400
"151","OMN","2015",2.959,81.35,,100,91480.0033569336,52160,1.93917000293732,95.55,396.969708588957,20520,"Oman",4191776
"152","PAK","2015",3.904,36.026,,63.0871090825448,374510.009765625,30400000,,100.57,137.471578947368,1190,"Pakistan",210969298
"153","PAN","2015",2.564,66.696,,34.6736596736597,17649.9996185303,565000,,101.26,73.4605309734513,12240,"Panama",3957099
"154","PER","2015",2.338,77.357,,47.2694866427639,97150.0015258789,4167433,1.62539994716644,99.39,106.971250647581,6290,"Peru",30711863
"155","PHL","2015",2.951,46.284,,74.5634790627692,192300.003051758,5590000,,101.67,139.423425760286,3350,"Philippines",103031365
"156","PLW","2015",2.21,78.159,,,230.000004172325,300,,,,15750,"Palau",17794
"157","PNG","2015",3.558,13.012,,,21200.0007629395,300000,,100.48,104.635233333333,2670,"Papua New Guinea",8682174
"158","POL","2015",1.32,60.278,2490.20641907427,86.0813795705271,348609.985351563,10887000,,101.18,174.097547533756,13250,"Poland",37986412
"159","PRI","2015",1.3365,93.624,,,,52400,,98.16,,19420,"Puerto Rico",3473232
"160","PRK","2015",1.884,61.277,,27.2039018708597,46869.9989318848,2320000,,99.43,41.2177456896552,,"Korea, Dem. People's Rep.",25258015
"161","PRT","2015",1.31,63.514,2131.68188764014,51.8730133967746,67510.0021362305,1069960,15.9920701980591,102.28,185.728195446559,20460,"Portugal",10358076
"162","PRY","2015",2.645,60.75,,0.0017939150401837,46439.998626709,4868000,6.95428991317749,96.65,96.1133894823336,6100,"Paraguay",6177950
"163","PSE","2015",4.046,75.368,,,,57620,0.920239984989166,98.96,,3670,"West Bank and Gaza",4270092
"164","PYF","2015",1.905,61.683,,,,2500,,111.65,296.632,,"French Polynesia",291787
"165","QAT","2015",1.864,98.945,,100,106790.000915527,18500,,125.37,124.324324324324,78040,"Qatar",2414573
"166","ROU","2015",1.62,53.887,,42.5957950304906,100849.998474121,8778000,,100.01,60.6860332649806,9610,"Romania",19815616
"167","RUS","2015",1.777,74.05,,65.481225536611,2287290.0390625,121649000,,100.58,16.6626112832822,11780,"Russian Federation",144096870
"168","RWA","2015",4.081,17.004,,,5050.00019073486,1151700,,105.23,19.6927585308674,730,"Rwanda",11642959
"169","SAU","2015",2.637,83.18,,76.2100397238248,731890.014648438,3490000,,98.95,91.8051575931232,22970,"Saudi Arabia",32749848
"170","SDN","2015",4.898,33.894,,22.618226412202,102870.002746582,20080080,,99.78,4.47432480348684,1950,"Sudan",38171178
"171","SEN","2015",4.781,45.862,,87.787610619469,25299.9992370605,3200000,,100.68,16.240625,1330,"Senegal",14356181
"172","SGP","2015",1.24,100,,96.9235346623029,62380.0010681152,560,,98.94,294.589285714286,53160,"Singapore",5535002
"173","SLB","2015",4.356,22.36,,,790.000021457672,20000,,99.65,,2100,"Solomon Islands",612660
"174","SLE","2015",4.548,40.829,,,6780.00020980835,1584000,,99.35,,540,"Sierra Leone",7314773
"175","SLV","2015",2.067,69.7,,42.1773250960093,12220.0002670288,696900,,100.67,116.83413689195,3490,"El Salvador",6231066
"176","SMR","2015",,96.739,,,,1985,,,,,"San Marino",33570
"177","SOM","2015",6.978,43.245,,,25770.0004577637,1100000,,101.42,,400,"Somalia",13763906
"178","SRB","2015",1.46,55.696,,73.0841867269584,61500,2591000,1.92435002326965,99.93,107.413315322269,5960,"Serbia",7095383
"179","SSD","2015",4.937,18.852,,99.3939393939394,55740.0016784668,2537850,,99.26,,1040,"South Sudan",11194299
"180","STP","2015",4.387,70.174,,,159.999996423721,4000,,99.79,,1640,"Sao Tome and Principe",201124
"181","SUR","2015",2.494,66.056,,39.9468556244464,4449.99980926514,65000,,99.5,145.057384615385,8640,"Suriname",575475
"182","SVK","2015",1.4,53.889,3003.66421998152,19.9759687593872,37650.0015258789,1350000,16.9768104553223,95.88,112.991111111111,17760,"Slovak Republic",5423801
"183","SVN","2015",1.57,53.781,3174.87258490422,32.4357157319295,16100.0003814697,184240,16.3892402648926,99.08,267.466348241424,22270,"Slovenia",2063531
"184","SWE","2015",1.85,86.553,5102.78557831232,1.08503004366057,50849.9984741211,2575190,10.9438104629517,101.26,96.893044785045,58420,"Sweden",9799186
"185","SWZ","2015",3.117,23.3,,,2460.00003814697,175000,,100.75,,3700,"Eswatini",1133936
"186","SXM","2015",,100,,,,,,,,29560,"Sint Maarten (Dutch part)",38825
"187","SYC","2015",2.31,55.4,,,649.999976158142,150,,97.25,816.733333333333,14150,"Seychelles",93419
"188","SYR","2015",3.049,52.168,,97.6902857782003,46939.998626709,4662000,,98.19,0.751945516945517,910,"Syrian Arab Republic",19205178
"189","TCA","2015",1.67,92.195,,,,1000,,,,25140,"Turks and Caicos Islands",36538
"190","TCD","2015",6.706,22.515,,,68120.002746582,5200000,,100.11,,880,"Chad",14140274
"191","TGO","2015",4.594,40.1,,24.6913580246914,6980.00001907349,2650000,,99.49,3.32721509433962,630,"Togo",7473229
"192","THA","2015",1.469,47.694,,91.4615211521152,385010.009765625,16810000,,99.76,136.087290898275,5580,"Thailand",70294397
"193","TJK","2015",3.459,26.742,,1.52662859806549,12420.0000762939,828800,,107.84,21.9879946911197,1250,"Tajikistan",8524063
"194","TKM","2015",2.93,50.317,,100,155080.001831055,1940000,,100.75,268.283402061856,6790,"Turkmenistan",5766431
"195","TLS","2015",3.903,29.49,,,6800.00019073486,114000,,105.62,,2180,"Timor-Leste",1205813
"196","TON","2015",3.562,23.275,,,259.999990463257,20000,,99.4,8.2725,4210,"Tonga",106122
"197","TTO","2015",1.682,53.319,,100,32119.9989318848,25000,,84.44,356,19020,"Trinidad and Tobago",1460177
"198","TUN","2015",2.251,68.056,,96.0764383004676,41729.9995422363,2570000,,101.17,53.1128404669261,4070,"Tunisia",11557779
"199","TUR","2015",2.194,73.611,1628.20667929602,67.8458876244829,432040.008544922,20650000,1.44358003139496,100.52,106.670024213075,11860,"Turkiye",79646178
"200","TUV","2015",3.217,59.73,,,19.9999995529652,,,100.51,,5690,"Tuvalu",10877
"201","TZA","2015",5.088,31.617,,65.845909451946,81709.9990844727,12595500,,100.32,9.5554039140963,960,"Tanzania",52542823
"202","UGA","2015",5.306,22.06,,,39029.9987792969,6900000,,99.63,1.58690869565217,850,"Uganda",37477356
"203","UKR","2015",1.506,69.061,,41.2700175191847,247550.003051758,32775000,,98.81,43.1734553775744,2800,"Ukraine",45154036
"204","URY","2015",2.023,95.045,,11.4410480349345,36759.9983215332,2428600,1.79331004619598,99.69,115.744033599605,15670,"Uruguay",3402818
"205","USA","2015",1.8435,81.671,6803.99660728499,67.0787014713357,6082160.15625,156645100,11.9889698028564,98.61,129.026289363663,56620,"United States",320738994
"206","UZB","2015",2.491,50.75,,79.3470670391062,161029.998779297,4041000,,100.14,248.692155407077,2740,"Uzbekistan",31298900
"207","VCT","2015",2.099,50.964,,,330.000013113022,2000,,99.58,,7160,"St. Vincent and the Grenadines",106482
"208","VEN","2015",2.34,88.154,,36.3049579045837,371119.995117188,2600000,1.24196004867554,102.53,190.439430769231,,"Venezuela, RB",30529716
"209","VGB","2015",1.186,46.583,,,,1000,,,,,"British Virgin Islands",29366
"210","VIR","2015",2.11,95.35,,,,1000,,,,,"Virgin Islands (U.S.)",107712
"211","VNM","2015",1.951,33.809,,63.2679423027994,333640.014648438,7002800,,98.32,432.273603415777,2480,"Vietnam",92191398
"212","VUT","2015",4.006,24.961,,,769.999980926514,20000,,97.97,,2770,"Vanuatu",276438
"213","WSM","2015",4.357,18.914,,,610.000014305115,32460,,104.28,0.341959334565619,3930,"Samoa",203571
"214","XKX","2015",1.751,,,97.7120444517078,,,,,,3930,"Kosovo",1788196
"215","YEM","2015",4.322,34.777,,100,29459.9990844727,1137600,,100.52,1.79496308016878,1110,"Yemen, Rep.",28516545
"216","ZAF","2015",2.359,64.828,,92.7854062641852,536119.995117188,12000000,1.08624994754791,101.47,62.675,6550,"South Africa",55876504
"217","ZMB","2015",4.793,41.907,,3.00617605476598,36310.001373291,3800000,,94.51,55.9104421052632,1540,"Zambia",16248230
"218","ZWE","2015",3.849,32.385,,47.275723555464,30700.0007629395,4000000,,98.59,19.65,1220,"Zimbabwe",14154937
