"","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"1","ABW","2015",1.972,43.108,,,,2000,,,,26180,"Aruba",104257
"2","AFG","2015",5.405,24.803,,,27090.0001525879,7765000,,96.67,13.3244919510625,610,"Afghanistan",33753499
"3","AGO","2015",5.774,63.446,,46.8250716919295,87360.0006103516,4900000,,100.09,8.04833469387755,3880,"Angola",28127721
"4","ALB","2015",1.613,57.434,,0,9220.00026702881,615100,,100.15,107.831246951715,4390,"Albania",2880703
"5","AND","2015",,88.345,,,579.999983310699,810,10.373740196228,,,,"Andorra",71746
"6","ARE","2015",1.486,85.674,,99.7675988882433,245220.001220703,44100,,93.2,714.927210884354,46270,"United Arab Emirates",8916899
"7","ARG","2015",2.301,91.503,,66.935022110005,370000,36688100,,103.11,29.1442890201455,12600,"Argentina",43131966
"8","ARM","2015",1.602,63.085,,35.9148608795999,9159.99984741211,446700,,100.33,145.599955227222,4080,"Armenia",2878595
"9","ASM","2015",,87.238,,,,3360,,,,,"American Samoa",51368
"10","ATG","2015",1.567,25,,,1090.0000333786,4000,,98.54,5.265,13370,"Antigua and Barbuda",89941
"11","AUS","2015",1.814,85.701,5483.81640154023,86.3621589053259,596979.98046875,31090700,6.45617008209229,102.17,79.4678591990531,60490,"Australia",23815995
"12","AUT","2015",1.49,57.715,3800.29942035468,22.2220423230737,76339.9963378906,1346100,9.98458003997803,100.17,148.721417428126,47480,"Austria",8642699
"13","AZE","2015",1.94,54.714,,92.5915424497732,50520.0004577637,1937700,,99.33,50.9660938225732,6610,"Azerbaijan",9649341
"14","BDI","2015",5.695,12.078,,,3619.99988555908,1200000,,98.3,8.33625,250,"Burundi",10727148
"15","BEL","2015",1.7,97.876,4687.7870492938,39.2146431241732,111430.000305176,829500,11.7012701034546,102.11,305.477998794454,45570,"Belgium",11274196
"16","BEN","2015",5.319,45.695,,94.4444444444444,12119.9998855591,2700000,,100.26,0.133233333333333,1140,"Benin",10932783
"17","BFA","2015",5.478,27.53,,,28040.0009155273,6000000,,97.05,16.2873933333333,680,"Burkina Faso",18718019
"18","BGD","2015",2.114,34.308,,98.7731100981173,192179.992675781,7732240,2.09446001052856,99.82,298.966405595274,1210,"Bangladesh",157830000
"19","BGR","2015",1.53,73.99,,50.4041688892536,57259.9983215332,3509700,,99.37,122.002165427244,7430,"Bulgaria",7177991
"20","BHR","2015",2.131,88.999,,100,48869.9989318848,1600,,106.76,1246.64375,22740,"Bahrain",1362142
"21","BHS","2015",1.576,82.746,,,2519.99998092651,8000,,101.76,188.2675,27450,"Bahamas, The",392697
"22","BIH","2015",1.289,47.173,,64.4826924307377,24889.9993896484,1022000,0.834349989891052,100.63,127.88747553816,5070,"Bosnia and Herzegovina",3524324
"23","BLR","2015",1.724,77.181,,98.929053459304,84739.9978637695,5677400,,101.81,194.186599499771,6750,"Belarus",9461076
"24","BLZ","2015",2.438,45.406,,,1480.00001907349,88000,,101.48,382.494204545455,5770,"Belize",359871
"25","BMU","2015",1.4,100,,,,300,,,284.666666666667,101120,"Bermuda",65237
"26","BOL","2015",2.886,68.393,,68.5975609756098,57540.0009155273,4416000,0.807089984416962,104.98,9.18492527173913,2900,"Bolivia",11090085
"27","BRA","2015",1.777,85.77,,23.4329117754259,1095300.04882813,54518000,,100.23,234.9650836421,10160,"Brazil",205188205
"28","BRB","2015",1.614,31.249,,,3740.00000953674,8000,,103.71,121.565,16170,"Barbados",278083
"29","BRN","2015",1.947,76.663,,99.9523809523809,8390.00034332275,4000,,97,177.25,38250,"Brunei Darussalam",421437
"30","BTN","2015",1.957,38.678,,,1389.99998569489,100200,,97.51,14.7605788423154,2470,"Bhutan",743274
"31","BWA","2015",2.942,67.155,,99.9662959218065,12189.9995803833,259600,,105.18,66.0329352850539,5890,"Botswana",2305171
"32","CAF","2015",6.035,40.277,,,21010.0002288818,1800000,,99.83,0.340672222222222,370,"Central African Republic",4819333
"33","CAN","2015",1.6,81.259,7631.34157027209,21.067179533053,704479.98046875,38282000,,99,104.357139125438,47590,"Canada",35702908
"34","CHE","2015",1.54,73.718,2960.07338939119,1.06964007443606,48349.9984741211,398398.8,15.1528596878052,100.28,208.933535944385,88010,"Switzerland",8282396
"35","CHI","2015",1.521,30.962,,,,,,,,,"Channel Islands",162190
"36","CHL","2015",1.737,87.36,2016.68746115024,56.3956650350856,102129.997253418,1313000,0.940280020236969,100.47,453.49504950495,14210,"Chile",17870124
"37","CHN","2015",1.67,55.5,,72.9620759739898,11818469.7265625,119593400,,99.99,464.557873929498,7890,"China",1379860000
"38","CIV","2015",4.813,49.444,,83.2740213523132,22649.9996185303,3500000,,99.32,41.3071514285714,2010,"Cote d'Ivoire",23596741
"39","CMR","2015",4.832,54.578,,23.8828055637763,87949.9969482422,6200000,,100.32,13.5909580645161,1520,"Cameroon",23012646
"40","COD","2015",6.437,42.74,,0.178930887944531,52540.0009155273,12460000,,100.34,1.89385634028892,440,"Congo, Dem. Rep.",78656904
"41","COG","2015",4.564,65.543,,46.6551326412918,15250,550000,,107.51,4.13196363636364,2970,"Congo, Rep.",5064386
"42","COL","2015",1.863,79.764,,31.763188779576,175229.995727539,1731500,3.22958993911743,101.26,601.460976032342,7400,"Colombia",47119728
"43","COM","2015",4.418,28.47,,,479.999989271164,65000,,99.5,,1470,"Comoros",730216
"44","CPV","2015",2.117,64.3,,,680.000007152557,50000,1.63250994682312,100.09,,3050,"Cabo Verde",552166
"45","CRI","2015",1.79,76.862,,0.998890122086571,14319.9996948242,253500,2.62031006813049,100.42,623.377514792899,10610,"Costa Rica",4895242
"46","CUB","2015",1.694,76.896,,60.5086750788643,45169.9981689453,3013700,,95.73,44.3926402760726,7220,"Cuba",11339894
"47","CUW","2015",1.9,89.352,,,,,,,,19520,"Curacao",157980
"48","CYM","2015",,100,,,,200,9.15703964233398,,,44970,"Cayman Islands",60911
"49","CYP","2015",1.326,66.946,,91.2199426428414,8210.00003814697,98380,9.98015022277832,99.64,157.999593413295,26100,"Cyprus",1187280
"50","CZE","2015",1.57,73.477,3860.00296414044,55.9153190665246,120459.999084473,2490000,13.8529195785522,100.26,192.313654618474,18370,"Czechia",10546059
"51","DEU","2015",1.5,77.2,3817.54941455461,55.0630531681038,843880.004882813,11846000,10.1028900146484,100.44,202.273932128989,45780,"Germany",81686611
"52","DJI","2015",3.066,77.417,,,1399.99997615814,2000,,77.91,,2310,"Djibouti",1006259
"53","DMA","2015",,69.579,,,250,6000,,99.56,152.043333333333,7030,"Dominica",70007
"54","DNK","2015",1.71,87.526,2816.61456539942,31.8996787231838,47880.0010681152,2351651,10.3211002349854,99.89,136.880429961759,60510,"Denmark",5683483
"55","DOM","2015",2.43,78.566,,88.3675570244352,36490.0016784668,877000,,101.19,134.166898517674,6500,"Dominican Republic",10405832
"56","DZA","2015",3.041,70.848,,99.6773162010524,263140.014648438,7462100,,97.45,23.5322496348213,4880,"Algeria",39543154
"57","ECU","2015",2.26,63.398,,47.1970576848626,74089.9963378906,1068000,1.04981994628906,98.88,254.812584269663,5980,"Ecuador",16195902
"58","EGY","2015",3.436,42.785,,91.7407144858966,317380.004882813,2865877.1,,99.65,569.459171853531,3160,"Egypt, Arab Rep.",97723799
"59","ERI","2015",4.217,38.206,,99.5073891625616,5929.99982833862,690000,,99.15,1.47060869565217,,"Eritrea",3340006
"60","ESP","2015",1.33,79.602,2571.34096211178,44.0671437622394,325279.998779297,12278220,,99.81,151.501520578716,28460,"Spain",46444832
"61","EST","2015",1.58,68.416,4173.32658257102,7.15177114332341,18360.0006103516,675000,,101.64,82.6725925925926,18570,"Estonia",1315407
"62","ETH","2015",4.531,19.428,,0.0383251892306218,136860.000610352,15721000,,101.5,28.1125539087844,590,"Ethiopia",102471895
"63","FIN","2015",1.65,85.225,5924.70012488295,16.1858390308614,54349.9984741211,2242300,11.9339199066162,100.7,89.2043615930072,47180,"Finland",5479531
"64","FJI","2015",2.642,54.726,,,2000,70200,,112.4,125.273504273504,4840,"Fiji",917200
"65","FRA","2015",1.96,79.655,3692.01783331053,6.05578763926501,433220.001220703,18478700,7.21580982208252,100.2,170.400948118645,41130,"France",66548272
"66","FRO","2015",2.4,41.638,,,,64,,99.5,,,"Faroe Islands",48816
"67","FSM","2015",2.971,22.456,,,230.000004172325,2000,,100.19,,3470,"Micronesia, Fed. Sts.",109462
"68","GAB","2015",3.889,88.118,,56.2558795860771,13899.9996185303,325000,,100.68,27.3416307692308,7660,"Gabon",2028517
