"id";"name";"year";"elecons";"allowances";"crimes";"urban";"wages";"nonworking";"unemplyshare";"pop";"ecocrimes";"propcrimes";"lifecrimes";"detect"
"011212001000";"Powiat bocheński";"2013";693.2;3241;2023;31.48;83.3;58.6;6.6;104765;432;653;40;66.2
"011212001000";"Powiat bocheński";"2014";685.3;3218;1604;31.28;83.9;59.3;5.6;105083;482;726;29;62.1
"011212001000";"Powiat bocheński";"2015";694.2;3163;1515;31.18;83.5;59.9;4.2;105416;330;665;29;71.2
"011212001000";"Powiat bocheński";"2016";703.3;2859;1660;31.04;84.1;61;3.8;105747;254;459;25;82.8
"011212001000";"Powiat bocheński";"2017";741;3083;2130;30.84;83.6;62.1;3.2;106096;341;420;20;86.1
"011212001000";"Powiat bocheński";"2018";749.9;2454;6384;30.67;82.8;63.4;2.9;106514;4856;516;32;84.2
"011212001000";"Powiat bocheński";"2019";748.8;2075;2032;30.39;82.8;64.9;1.7;106858;604;764;18;79.7
"011212001000";"Powiat bocheński";"2020";765.6;1658;2036;29.77;81.9;0;2.7;106838;405;736;19;77.2
"011212001000";"Powiat bocheński";"2021";774.7;1607;3398;29.57;84.3;0;2.4;106715;345;642;18;77.6
"011212001000";"Powiat bocheński";"2022";705.1;1606;1897;29.42;84.2;0;1.8;106878;414;510;25;83.6
"011212006000";"Powiat krakowski";"2013";969.3;5015;4953;16.92;96.9;57.4;5.8;266649;543;2366;107;48.5
"011212006000";"Powiat krakowski";"2014";968.2;5382;3814;16.75;96.3;58.2;4.7;268517;282;1913;113;48.4
"011212006000";"Powiat krakowski";"2015";938.8;5121;3789;16.59;101.3;59.2;3.8;270490;704;1526;83;53
"011212006000";"Powiat krakowski";"2016";951.8;4747;3013;16.5;105.1;60.3;3.5;272591;309;1502;80;56.4
"011212006000";"Powiat krakowski";"2017";1007.6;4163;3872;16.36;107.3;61.5;2.9;274843;514;1788;86;71.7
"011212006000";"Powiat krakowski";"2018";1006.7;3671;3557;16.23;108.6;62.9;2.7;277145;691;1648;90;69.7
"011212006000";"Powiat krakowski";"2019";1012.7;3631;9553;16.06;106.4;64.1;2.3;279239;6955;7786;72;67.8
"011212006000";"Powiat krakowski";"2020";973.9;3617;4366;15.07;104.8;0;3.3;295640;1283;2036;62;75.5
"011212006000";"Powiat krakowski";"2021";994.1;3757;3094;14.91;92.7;0;3.2;298107;649;1300;53;69.5
"011212006000";"Powiat krakowski";"2022";878.8;4079;2968;14.75;95.2;0;2.8;300289;620;1182;51;65
"011212008000";"Powiat miechowski";"2013";781.8;3157;1069;23.68;76.9;63.2;8.3;49966;299;331;20;65.1
"011212008000";"Powiat miechowski";"2014";762.8;1154;913;23.74;77.3;63.9;6.6;49824;119;426;13;57.4
"011212008000";"Powiat miechowski";"2015";745.1;2020;791;23.67;76.8;64.6;6.2;49592;96;305;22;60.5
"011212008000";"Powiat miechowski";"2016";743.4;1976;792;23.77;75.7;66;4.7;49505;209;409;15;61
"011212008000";"Powiat miechowski";"2017";795.7;1760;799;23.72;75.9;67.4;3.9;49315;87;234;9;81.1
"011212008000";"Powiat miechowski";"2018";798.6;1551;649;23.71;76.5;68.6;3.2;49137;45;152;16;72
"011212008000";"Powiat miechowski";"2019";804.5;1229;589;23.7;77.7;70;2.8;48818;56;167;9;68.6
"011212008000";"Powiat miechowski";"2020";851.9;1226;843;23.53;79.9;0;3.9;47756;143;245;7;75.1
"011212008000";"Powiat miechowski";"2021";851;1166;890;23.45;81.8;0;3.3;47346;268;425;13;70.8
"011212008000";"Powiat miechowski";"2022";721.9;1083;748;23.46;80.8;0;3;46998;103;455;9;70.9
"011212009000";"Powiat myślenicki";"2013";762.5;1801;1661;25.28;75.2;57.3;8;123991;171;835;34;50.9
"011212009000";"Powiat myślenicki";"2014";770;1612;1427;25.17;75;57.6;6.2;124482;304;672;28;53.1
"011212009000";"Powiat myślenicki";"2015";743.5;1338;1232;25.08;74.5;58.2;4.4;125020;172;554;22;58.1
"011212009000";"Powiat myślenicki";"2016";743.3;1096;1185;25.02;81.1;58.9;2.9;125647;177;524;27;58.4
"011212009000";"Powiat myślenicki";"2017";794.5;937;1126;24.9;82.7;59.9;1.8;126339;149;478;28;67.3
"011212009000";"Powiat myślenicki";"2018";796.3;917;1268;24.76;83.1;61;1.7;127028;162;433;35;75.5
"011212009000";"Powiat myślenicki";"2019";796.1;728;1502;24.63;82.7;62.1;1.5;127600;199;458;24;78.7
"011212009000";"Powiat myślenicki";"2020";806.2;595;1341;23.92;81.9;0;2.5;129108;252;483;32;78.7
"011212009000";"Powiat myślenicki";"2021";831.3;548;1452;23.79;83.7;0;1.7;129391;513;666;20;80.2
"011212009000";"Powiat myślenicki";"2022";751.7;625;1576;23.59;83.6;0;2;129538;520;788;25;81
"011212014000";"Powiat proszowicki";"2013";919.7;2250;728;17.91;77.9;59.3;8.7;43864;58;402;17;68.2
"011212014000";"Powiat proszowicki";"2014";939.2;2208;390;17.83;79.4;59.9;7.5;43892;36;158;12;50
"011212014000";"Powiat proszowicki";"2015";904.9;2155;426;17.82;79.8;60.2;6.4;43716;67;148;9;54.5
"011212014000";"Powiat proszowicki";"2016";912.6;1858;485;17.72;79.4;61;5.5;43648;41;268;7;71.1
"011212014000";"Powiat proszowicki";"2017";952.2;1979;331;17.78;81.2;61.8;4.9;43658;31;132;12;62.9
"011212014000";"Powiat proszowicki";"2018";967.5;1935;389;17.68;80.4;63;4.3;43523;75;113;13;65.9
"011212014000";"Powiat proszowicki";"2019";946.3;1934;361;19.5;82.2;63.9;3.1;43222;34;142;5;66.8
"011212014000";"Powiat proszowicki";"2020";984.6;1664;313;19.58;83.9;0;4;42760;29;100;10;70.1
"011212014000";"Powiat proszowicki";"2021";967.7;1628;334;19.48;82.8;0;3.5;42522;41;112;8;70.6
"011212014000";"Powiat proszowicki";"2022";872.2;1712;330;19.34;83.2;0;3.5;42268;54;135;6;68
"011212019000";"Powiat wielicki";"2013";975.6;1432;2186;27.11;89.7;56.7;6.5;118553;128;1054;44;56.6
"011212019000";"Powiat wielicki";"2014";970.3;1473;1652;27.38;91.4;57.5;4.9;120064;205;870;28;52.8
"011212019000";"Powiat wielicki";"2015";936.4;1439;1526;27.7;91.8;58.6;4.1;121534;274;757;26;52.8
"011212019000";"Powiat wielicki";"2016";945.9;1327;1486;27.94;91.9;59.6;3.7;123251;289;713;34;58.7
"011212019000";"Powiat wielicki";"2017";998.9;1130;1325;28.32;92;61.1;2.9;125197;207;574;47;61.7
"011212019000";"Powiat wielicki";"2018";990.2;1025;1667;28.64;92.5;62.1;2.8;127078;329;576;33;71.5
"011212019000";"Powiat wielicki";"2019";993.7;953;2224;28.97;92;63.4;2.6;129136;464;869;30;74.7
"011212019000";"Powiat wielicki";"2020";949.6;937;2069;30.32;91.4;0;3.3;138515;616;879;26;69
"011212019000";"Powiat wielicki";"2021";970.4;1055;2066;30.58;89.5;0;2.7;140291;696;1135;34;71.8
"011212019000";"Powiat wielicki";"2022";870.7;1172;2303;30.87;92.5;0;2.2;142044;398;1216;26;78.6
"011212161000";"Powiat m. Kraków";"2013";1009.5;92569;31326;100;103.1;57.8;5.1;758992;2446;21099;514;40.8
"011212161000";"Powiat m. Kraków";"2014";972.3;86081;26337;100;103.7;59.3;4.6;761873;3061;17405;551;39.5
"011212161000";"Powiat m. Kraków";"2015";952.4;82109;24348;100;106.8;61.3;4.2;761069;4667;15847;325;43.3
"011212161000";"Powiat m. Kraków";"2016";958.7;77467;23704;100;108;63.5;3.5;765320;4810;13420;341;47.6
"011212161000";"Powiat m. Kraków";"2017";1025.1;70976;30206;100;109.7;65.8;2.8;767348;12827;12312;369;51.5
"011212161000";"Powiat m. Kraków";"2018";1007.3;64028;18109;100;111;67.8;2.5;771069;2956;10649;292;52.7
"011212161000";"Powiat m. Kraków";"2019";1010;56589;19539;100;113.5;69.2;2.1;779115;3550;11630;489;55.1
"011212161000";"Powiat m. Kraków";"2020";1007;48437;17617;100;117.4;0;3.2;800531;3317;9136;244;59
"011212161000";"Powiat m. Kraków";"2021";1025.9;50818;19132;100;120;0;2.9;802583;5074;12966;226;59.9
"011212161000";"Powiat m. Kraków";"2022";984.1;57319;21819;100;121.7;0;2.5;803282;5243;13886;231;60
"011212205000";"Powiat gorlicki";"2013";619.3;7592;1675;33.08;75.3;59.4;10.1;109201;277;787;47;70.2
"011212205000";"Powiat gorlicki";"2014";640.1;7401;1213;32.96;73.7;59.9;8.4;109181;177;549;34;67
"011212205000";"Powiat gorlicki";"2015";625;6696;1089;32.8;73.7;60.4;7.6;109140;214;485;36;69.9
"011212205000";"Powiat gorlicki";"2016";621.8;5909;1525;32.66;74.1;61.2;5.6;109049;145;413;27;81.6
"011212205000";"Powiat gorlicki";"2017";653.1;5275;1281;32.58;75.8;62.1;4.2;109076;273;402;29;78.4
"011212205000";"Powiat gorlicki";"2018";651;4770;1939;32.38;74.4;63.1;3.7;109104;248;402;30;88.5
"011212205000";"Powiat gorlicki";"2019";662.6;4511;3164;32.24;74.9;64.5;3.2;108886;1240;569;33;89.7
"011212205000";"Powiat gorlicki";"2020";699.2;4036;2680;31.88;75.3;0;4.4;106921;1439;492;43;82
"011212205000";"Powiat gorlicki";"2021";698.4;3960;1741;31.57;77;0;3.7;106278;902;493;16;75.6
"011212205000";"Powiat gorlicki";"2022";640;4125;2953;31.42;75;0;3.5;105782;294;494;26;93.2
"011212207000";"Powiat limanowski";"2013";642.2;2571;2716;17.89;77.2;63.1;13.4;128545;424;814;61;75.2
"011212207000";"Powiat limanowski";"2014";645.1;2558;1711;17.79;77.8;62.6;11.1;129073;242;684;70;70.3
