"id";"name";"year";"elecons";"allowances";"crimes";"urban";"wages";"nonworking";"unemplyshare";"pop";"ecocrimes";"propcrimes";"lifecrimes";"detect"
"011212207000";"Powiat limanowski";"2015";652.5;2471;1247;17.77;76.3;62.4;9.5;129699;173;619;37;63
"011212207000";"Powiat limanowski";"2016";655.4;1938;1869;17.71;76;62.5;6.8;130289;397;579;48;75.6
"011212207000";"Powiat limanowski";"2017";683.4;1845;1449;17.63;75.9;62.7;5.7;130964;136;450;36;79.8
"011212207000";"Powiat limanowski";"2018";686.3;1590;1354;17.57;75.4;62.9;5.2;131523;421;415;30;72.7
"011212207000";"Powiat limanowski";"2019";692.1;1294;1556;17.49;74.7;63.6;4.8;131764;580;506;28;74.5
"011212207000";"Powiat limanowski";"2020";725.8;1282;1471;17.14;75.4;0;5.6;131145;371;445;22;80
"011212207000";"Powiat limanowski";"2021";744.7;1240;2517;17.06;77.5;0;4.4;131332;701;1522;20;89.8
"011212207000";"Powiat limanowski";"2022";668.9;1268;1854;16.98;77.3;0;4.5;131549;450;696;24;85
"011212210000";"Powiat nowosądecki";"2013";648;5046;2811;17.73;74.1;60.9;10.1;211045;262;1383;90;61.2
"011212210000";"Powiat nowosądecki";"2014";681.6;4721;3246;17.51;74.7;60.6;8.3;211830;1459;983;70;59.1
"011212210000";"Powiat nowosądecki";"2015";655.7;4723;4169;17.38;75.7;60.5;7.6;212894;1589;913;55;65.9
"011212210000";"Powiat nowosądecki";"2016";655.1;4222;1761;17.22;75.5;60.7;5.7;213864;366;687;40;61.8
"011212210000";"Powiat nowosądecki";"2017";686.8;4108;4991;17.07;75;60.9;4.8;214999;3413;3879;48;70.3
"011212210000";"Powiat nowosądecki";"2018";689.8;4347;3198;16.88;76.1;61.4;4.6;216176;1644;698;72;74.4
"011212210000";"Powiat nowosądecki";"2019";700.8;2714;5550;16.74;75.4;61.9;4.5;216796;3883;751;40;76
"011212210000";"Powiat nowosądecki";"2020";730.6;2390;11958;16.31;75.3;0;5.5;214502;10474;650;46;77.2
"011212210000";"Powiat nowosądecki";"2021";767.4;2312;3193;16.13;75.7;0;4.7;214661;1834;733;39;79.3
"011212210000";"Powiat nowosądecki";"2022";712.4;2241;2338;15.94;76.6;0;4.8;214933;945;1207;39;72.1
"011212262000";"Powiat m. Nowy Sącz";"2013";705.3;15095;5158;100;79.9;58.8;9.1;83943;2109;2232;56;63.8
"011212262000";"Powiat m. Nowy Sącz";"2014";702.2;15829;4200;100;79.8;59.8;7.6;83853;1744;1402;42;64
"011212262000";"Powiat m. Nowy Sącz";"2015";685.3;14920;4541;100;79.6;61.1;6.7;83903;1922;2162;43;69.2
"011212262000";"Powiat m. Nowy Sącz";"2016";684.1;13444;5154;100;79.6;62.7;5.6;83993;2071;3216;23;78.2
"011212262000";"Powiat m. Nowy Sącz";"2017";716.2;12123;3104;100;79;64.4;3.8;84041;659;1980;26;76.4
"011212262000";"Powiat m. Nowy Sącz";"2018";709.5;10552;3611;100;79.9;66.2;3;83896;1020;1630;26;81
"011212262000";"Powiat m. Nowy Sącz";"2019";713.4;9114;6164;100;79.4;67.9;2.5;83794;4140;1035;32;76.4
"011212262000";"Powiat m. Nowy Sącz";"2020";747.1;8306;2495;100;80.9;0;3.9;81435;496;1415;27;78.9
"011212262000";"Powiat m. Nowy Sącz";"2021";772.4;7564;7380;100;80.6;0;3;80979;5639;1193;17;77.4
"011212262000";"Powiat m. Nowy Sącz";"2022";728.1;7852;5473;100;81.7;0;3.2;80587;2068;1548;25;78.8
"011212303000";"Powiat chrzanowski";"2013";822;18230;4280;62.21;85.7;56.4;8.6;127301;1111;2306;123;54.9
"011212303000";"Powiat chrzanowski";"2014";795.2;18939;3494;62.08;86.3;57.7;7.1;126845;789;1803;94;61.9
"011212303000";"Powiat chrzanowski";"2015";799.5;18959;3042;61.97;85.6;59.3;6.1;126463;652;1621;92;51.6
"011212303000";"Powiat chrzanowski";"2016";797.2;17950;3875;61.8;86.5;60.9;5.5;126054;726;1235;80;71
"011212303000";"Powiat chrzanowski";"2017";826.5;17017;3432;61.72;85.7;62.9;4.6;125725;897;1289;84;77.5
"011212303000";"Powiat chrzanowski";"2018";829.2;15649;4587;61.61;87;65;4.3;125385;1169;1490;86;86.2
"011212303000";"Powiat chrzanowski";"2019";832;14242;3126;61.5;88.7;66.9;3.6;124536;723;1140;75;77.6
"011212303000";"Powiat chrzanowski";"2020";861.5;13032;2264;60.88;88.9;0;4.6;121759;498;1055;64;72.6
"011212303000";"Powiat chrzanowski";"2021";870.3;12874;2732;60.68;88.7;0;4;120694;683;1368;63;77.2
"011212303000";"Powiat chrzanowski";"2022";803.8;13387;3164;60.5;89.8;0;3.5;119719;1441;1904;46;74.3
"011212312000";"Powiat olkuski";"2013";781.2;8497;2625;49.1;91.5;57.5;9.9;114073;359;1167;91;62.7
"011212312000";"Powiat olkuski";"2014";761.2;8231;2422;48.95;91.5;58.7;9;113650;546;1305;56;62.5
"011212312000";"Powiat olkuski";"2015";771.8;7905;2038;48.9;89.9;60.2;8.1;113148;419;922;40;63.4
"011212312000";"Powiat olkuski";"2016";766.9;7497;1732;48.89;90.1;62.1;5.9;112863;223;675;54;64.8
"011212312000";"Powiat olkuski";"2017";803.6;6721;2033;48.79;91.4;64.2;5.6;112539;553;826;66;71.4
"011212312000";"Powiat olkuski";"2018";804.5;5395;1738;48.56;91.8;66.2;5.1;112035;421;720;41;67
"011212312000";"Powiat olkuski";"2019";801.2;4678;2174;48.41;90.1;68;5;111217;725;918;35;70.2
"011212312000";"Powiat olkuski";"2020";827.2;4108;1792;47.54;89.1;0;5.6;108923;444;732;32;70.2
"011212312000";"Powiat olkuski";"2021";841.5;3951;1916;47.33;87.8;0;5;107867;593;734;33;70.2
"011212312000";"Powiat olkuski";"2022";768.1;4057;1858;47.2;87.9;0;4.9;106843;610;841;32;74
"011212313000";"Powiat oświęcimski";"2013";709.2;16365;3940;53.7;87.3;58.2;7.3;155040;549;1869;105;64.9
"011212313000";"Powiat oświęcimski";"2014";708.7;15794;3628;53.53;88.4;59.2;5.9;154977;767;1714;75;68.5
"011212313000";"Powiat oświęcimski";"2015";721.4;14263;3430;53.35;88.6;60.4;4.9;154819;476;1423;72;73.8
"011212313000";"Powiat oświęcimski";"2016";717.3;13104;3045;53.18;88.8;62;4.1;154581;306;1014;64;78
"011212313000";"Powiat oświęcimski";"2017";744.5;11791;3817;52.95;89.4;63.6;3.3;154292;1385;1320;73;79.2
"011212313000";"Powiat oświęcimski";"2018";746.8;10396;3097;52.71;89.2;65.2;3.1;153737;704;1135;61;79.5
"011212313000";"Powiat oświęcimski";"2019";755;9422;3583;52.46;89.1;67;2.9;153486;752;1153;67;82
"011212313000";"Powiat oświęcimski";"2020";783.9;8715;2806;51.97;88.9;0;3.9;151300;539;1274;62;79.4
"011212313000";"Powiat oświęcimski";"2021";794.6;8429;2718;51.72;90.4;0;3.3;150192;540;1050;40;79.6
"011212313000";"Powiat oświęcimski";"2022";745;9366;3563;51.45;88;0;3;149304;696;1142;60;84
"011212318000";"Powiat wadowicki";"2013";707.6;9560;2706;28.31;75.5;58.1;7.7;158983;544;1302;53;56.1
"011212318000";"Powiat wadowicki";"2014";711;8583;2356;28.17;75;58.9;6.4;159233;399;1192;60;61.9
"011212318000";"Powiat wadowicki";"2015";725.1;7952;2084;28.03;75.1;59.7;5.1;159538;423;1048;41;62.1
"011212318000";"Powiat wadowicki";"2016";713.5;7379;1740;27.8;76.5;60.5;3.6;159673;326;804;32;64.2
"011212318000";"Powiat wadowicki";"2017";758.3;6694;2303;27.49;77.2;61.5;3.4;159938;862;1243;32;70.9
"011212318000";"Powiat wadowicki";"2018";765.4;5574;2349;27.2;77.8;62.5;3.2;160130;932;632;43;75.3
"011212318000";"Powiat wadowicki";"2019";772.3;4908;1810;27;78.9;63.9;3;160006;467;781;36;73.2
"011212318000";"Powiat wadowicki";"2020";802.2;4816;1785;26.25;80.7;0;4.4;158764;535;801;15;73.9
"011212318000";"Powiat wadowicki";"2021";831.2;4789;2006;25.92;82.3;0;3.1;158230;652;1104;45;74.2
"011212318000";"Powiat wadowicki";"2022";780;6181;2460;25.62;80.3;0;3.1;157855;1024;833;39;77.8
"011212402000";"Powiat brzeski";"2013";621.6;2037;3130;20.96;75.5;58.5;8.3;92781;437;929;41;82.7
"011212402000";"Powiat brzeski";"2014";612.9;2039;2583;20.94;76.1;58.3;6.9;92908;230;655;34;83
"011212402000";"Powiat brzeski";"2015";625.5;1851;2227;20.86;76.4;58.6;6.3;92983;372;691;32;80.5
"011212402000";"Powiat brzeski";"2016";628.5;1797;1917;20.79;75.4;59;4.9;93001;217;523;46;84.8
"011212402000";"Powiat brzeski";"2017";663.9;1552;2508;20.68;76.1;59.6;4;93164;273;488;34;90.4
"011212402000";"Powiat brzeski";"2018";670.2;1307;3144;20.57;76.3;60.6;3.3;93206;1074;609;24;89.6
"011212402000";"Powiat brzeski";"2019";673.1;1129;1759;20.56;76.3;61.7;2.9;93201;262;415;25;85.5
"011212402000";"Powiat brzeski";"2020";697.5;1087;2430;20.16;76.9;0;3.5;92297;474;640;24;91.3
"011212402000";"Powiat brzeski";"2021";710.9;1120;2467;20.08;77.9;0;3;91992;693;539;23;90.2
"011212402000";"Powiat brzeski";"2022";648.2;1346;2990;19.97;76.5;0;2.8;91823;1047;1235;17;89.8
"011212404000";"Powiat dąbrowski";"2013";514.2;1930;1837;26.92;78.8;55.1;13.2;59513;402;419;24;74.9
"011212404000";"Powiat dąbrowski";"2014";512.4;1891;1302;27.02;79.4;54.9;10.7;59471;308;445;15;67.3
"011212404000";"Powiat dąbrowski";"2015";518.4;1547;1533;27.04;78.2;55.1;10.1;59374;374;408;16;78
"011212404000";"Powiat dąbrowski";"2016";526.2;1305;916;27.09;78.9;55.3;8.5;59342;191;275;15;62
"011212404000";"Powiat dąbrowski";"2017";550.5;1204;1283;27.12;80.7;56.1;7.4;59311;159;240;19;84.5
"011212404000";"Powiat dąbrowski";"2018";558.7;1075;775;27.09;78.5;56.8;6.7;59350;77;261;17;70.5
"011212404000";"Powiat dąbrowski";"2019";569.2;953;1103;27.07;78.9;57.6;6.3;59174;182;490;15;72.8
"011212404000";"Powiat dąbrowski";"2020";589.8;824;792;26.89;80.1;0;7.3;58294;74;363;14;61.6
"011212404000";"Powiat dąbrowski";"2021";589;905;802;26.94;80.1;0;5.9;57991;151;353;6;46
"011212404000";"Powiat dąbrowski";"2022";540.4;1023;1627;26.98;78.6;0;5.9;57809;107;418;7;72.6
"011212416000";"Powiat tarnowski";"2013";600.8;2149;2620;12.09;72.9;58.1;8.7;199675;243;1006;63;65.6
"011212416000";"Powiat tarnowski";"2014";595.3;2267;2036;12.06;73.6;57.7;7.6;200085;130;854;76;65.6
"011212416000";"Powiat tarnowski";"2015";605.3;2112;2033;12.01;73.5;57.6;6.4;200600;444;783;49;64.9
"011212416000";"Powiat tarnowski";"2016";609.6;1675;2085;11.96;73.6;57.7;5.3;200886;313;676;53;77
"011212416000";"Powiat tarnowski";"2017";635.5;1444;2598;11.95;73.1;58.1;4.4;201268;178;643;58;86.2
"011212416000";"Powiat tarnowski";"2018";639.3;1307;2653;11.89;72.6;58.7;4;201570;1343;783;33;71.6
"011212416000";"Powiat tarnowski";"2019";646.5;1159;5774;11.81;72.9;59.6;3.2;201497;4496;3601;39;68.5
"011212416000";"Powiat tarnowski";"2020";671.9;998;2860;11.69;75.1;0;4.2;198525;1494;828;42;72.5
"011212416000";"Powiat tarnowski";"2021";676.7;940;3180;11.63;75.3;0;3.5;198038;1612;1699;29;72.9
"011212416000";"Powiat tarnowski";"2022";613.8;1220;5289;11.61;74.7;0;3.6;197717;3877;1601;34;68.9
"011212463000";"Powiat m. Tarnów";"2013";592.4;27123;3507;100;88.9;59.3;8.4;112120;978;1622;71;60
"011212463000";"Powiat m. Tarnów";"2014";576.5;27703;3776;100;87.8;60.9;7.7;111376;1444;2359;68;62.9
"011212463000";"Powiat m. Tarnów";"2015";578.2;27113;3074;100;88.4;62.6;6.7;110644;1045;1368;50;64
"011212463000";"Powiat m. Tarnów";"2016";577.4;26338;8193;100;88.4;64.5;6;110110;6367;1330;71;64.8
"011212463000";"Powiat m. Tarnów";"2017";606.2;25316;9085;100;87.2;66.4;5.1;109650;7010;1267;141;72.1
"011212463000";"Powiat m. Tarnów";"2018";600.2;23021;7850;100;86.1;68.5;4.5;109062;4927;2316;63;83
"011212463000";"Powiat m. Tarnów";"2019";600.1;20602;3603;100;100.7;70.3;3.7;108470;492;2183;79;83.9
"011212463000";"Powiat m. Tarnów";"2020";622.4;19071;2522;100;101.9;0;4.8;106596;665;1236;76;71.3
"011212463000";"Powiat m. Tarnów";"2021";630.6;19499;3472;100;100.6;0;3.8;105014;898;1544;39;73.1
"011212463000";"Powiat m. Tarnów";"2022";588.6;20453;2887;100;100.2;0;3.8;103960;513;1559;39;70.3
"011216911000";"Powiat nowotarski";"2013";724.7;6148;2491;27.85;74.3;59.1;8.3;189623;286;1282;79;56.4
"011216911000";"Powiat nowotarski";"2014";739.3;6210;2607;27.69;75.9;59.1;7.3;190128;379;1257;74;58.4
"011216911000";"Powiat nowotarski";"2015";716.6;5830;2213;27.51;75.2;59.2;5.9;190517;299;1099;56;56.2
"011216911000";"Powiat nowotarski";"2016";722.6;5000;2086;27.35;74.4;59.5;5.3;190757;297;996;56;57.8
"011216911000";"Powiat nowotarski";"2017";757.2;4308;2322;27.21;75.1;60;4;191266;467;1136;61;63.7
"011216911000";"Powiat nowotarski";"2018";760.3;3625;2151;27.12;76.8;60.6;3.4;191508;284;834;69;70.6
"011216911000";"Powiat nowotarski";"2019";775.3;3105;2223;27;76.1;61.5;3.1;191782;373;971;60;66.6
"011216911000";"Powiat nowotarski";"2020";805.7;2803;2195;26.89;78.5;0;4.3;190626;374;799;62;74.7
"011216911000";"Powiat nowotarski";"2021";843.5;2736;2374;26.78;77.7;0;3.6;190232;450;821;62;74.7
"011216911000";"Powiat nowotarski";"2022";791.3;2644;3849;26.68;77.1;0;2.8;190143;1855;2486;54;65.5
"011216915000";"Powiat suski";"2013";711.4;1069;1111;24.72;79.3;60.5;7.7;84111;194;480;17;59.1
"011216915000";"Powiat suski";"2014";716.6;1154;993;24.6;79.3;60.6;6.1;84140;225;455;28;58.4
"011216915000";"Powiat suski";"2015";716.9;988;1189;24.65;80.1;60.8;5;84175;448;475;17;59
"011216915000";"Powiat suski";"2016";712;870;2191;24.55;79.4;61.1;3.4;84184;1421;456;20;65
"011216915000";"Powiat suski";"2017";752.3;892;911;24.4;81.2;61.8;3;84317;173;381;29;74.6
"011216915000";"Powiat suski";"2018";767.8;735;823;24.2;81.8;62.3;3;84255;154;304;23;75
"011216915000";"Powiat suski";"2019";777;637;985;24.07;81.3;63.2;3.1;84232;274;426;27;72.3
"011216915000";"Powiat suski";"2020";817.7;559;957;23.91;81.2;0;4.2;83429;260;384;26;72.6
"011216915000";"Powiat suski";"2021";853.8;631;1170;23.93;82.6;0;3;83214;349;434;20;77.8
"011216915000";"Powiat suski";"2022";797.7;845;1164;23.95;82.9;0;2.7;83127;338;577;26;73.3
"011216917000";"Powiat tatrzański";"2013";1220.7;2314;1976;40.86;84.5;60;9.2;67847;184;1137;76;43.8
"011216917000";"Powiat tatrzański";"2014";1208.5;2145;1983;40.61;84.9;60.9;8.7;67851;297;1128;38;48.4
"011216917000";"Powiat tatrzański";"2015";1200.2;1920;1764;40.42;84.8;61.5;8.7;67884;257;1047;39;47.1
"011216917000";"Powiat tatrzański";"2016";1214.9;1753;2169;40.21;86;62.3;7.9;67905;256;1338;65;64.4
"011216917000";"Powiat tatrzański";"2017";1290.9;1594;1504;40.08;86.5;63.7;7.3;68034;264;893;55;51.5
"011216917000";"Powiat tatrzański";"2018";1303.1;1333;3405;39.9;86.7;64.8;6.7;68146;2192;2628;61;54.1
"011216917000";"Powiat tatrzański";"2019";1339.4;1249;1641;39.68;86.1;65.8;5.7;68072;260;841;55;63.3
"011216917000";"Powiat tatrzański";"2020";1379.1;1204;1582;38.59;84.3;0;6;67028;484;888;58;63.7
"011216917000";"Powiat tatrzański";"2021";1446.2;1302;1786;38.32;84.3;0;5.2;66701;841;705;45;59.2
"011216917000";"Powiat tatrzański";"2022";1498;1459;1971;38.14;82.3;0;5.4;66566;511;993;67;59.4
"012414402000";"Powiat bielski";"2013";862.3;5570;3126;27.71;86.2;57.2;5.7;160405;279;1527;86;59.9
"012414402000";"Powiat bielski";"2014";865;5266;2766;27.56;86.2;58.4;4.7;161359;634;1186;87;51.5
"012414402000";"Powiat bielski";"2015";879.9;4880;2393;27.43;87;59.3;4;162128;398;1398;50;58.1
"012414402000";"Powiat bielski";"2016";866.9;4154;2039;27.27;87.2;60.7;3;162926;265;1033;83;53.4
"012414402000";"Powiat bielski";"2017";906.6;3610;1703;27.17;88.3;62.4;2.3;164003;318;774;79;61.7
"012414402000";"Powiat bielski";"2018";906.2;3200;1767;27.12;87.1;64.2;1.9;165000;289;775;78;67.3
"012414402000";"Powiat bielski";"2019";908.8;2840;1960;26.99;88.1;65.7;1.7;165960;332;945;65;67.6
"012414402000";"Powiat bielski";"2020";926.5;2615;2746;26.56;87.3;0;2.8;165477;1095;1756;40;71.2
"012414402000";"Powiat bielski";"2021";943.7;2504;2353;26.41;86.7;0;2.2;165650;495;1167;44;69.7
"012414402000";"Powiat bielski";"2022";871.3;2602;4424;26.21;87.6;0;1.8;165836;2893;3362;43;68.4
"012414403000";"Powiat cieszyński";"2013";827.1;17928;3871;45.96;82;59.3;6.9;177479;558;1797;64;55.2
"012414403000";"Powiat cieszyński";"2014";824.8;17403;4297;45.71;82.3;60.7;5.9;177708;1410;1400;90;61.2
"012414403000";"Powiat cieszyński";"2015";842.1;15752;5527;45.39;83.3;62.2;4.6;177562;2885;3776;78;56.7
"012414403000";"Powiat cieszyński";"2016";834;13809;3388;45.19;83.1;63.8;4;177863;904;1473;96;61.2
"012414403000";"Powiat cieszyński";"2017";870.5;11495;3680;45.04;83.3;65.3;3.5;178251;1518;2163;82;67.4
