kwartal;razem
2015Q1;12050
2015Q2;147767
2015Q3;229119
2015Q4;21118
2016Q1;15515
2016Q2;162631
2016Q3;262360
2016Q4;23626
2017Q1;13232
2017Q2;178213
2017Q3;264375
2017Q4;30014
2018Q1;17812
2018Q2;212686
2018Q3;331812
2018Q4;38689
2019Q1;24893
