rok;bmio;bmik;bmim
1975;10.6;13.7;7.1    
1976;10.8;13.9;7.4	
1977;11.1;14.2;7.7	
1978;11.4;14.5;8.0	
1979;11.7;14.8;8.3	
1980;12.0;15.1;8.6	
1981;12.4;15.5;9.0	
1982;12.7;15.8;9.3	
1983;13.1;16.1;9.7	
1984;13.4;16.5;10.1	
1985;13.8;16.8;10.5	
1986;14.2;17.1;10.9	
1987;14.5;17.5;11.3	
1988;14.9;17.8;11.7	
1989;15.3;18.1;12.2	
1990;15.6;18.4;12.6	
1991;15.9;18.6;13.0	
1992;16.2;18.9;13.4	
1993;16.5;19.1;13.7	
1994;16.8;19.3;14.1	
1995;17.1;19.5;14.5	
1996;17.4;19.7;14.9	
1997;17.7;19.9;15.3	
1998;18.0;20.1;15.7	
1999;18.3;20.3;16.1	
2000;18.6;20.5;16.5	
2001;18.9;20.7;16.9	
2002;19.2;20.9;17.4	
2003;19.6;21.1;17.8	
2004;19.9;21.4;18.3	
2005;20.3;21.7;18.8	
2006;20.7;22.0;19.3	
2007;21.1;22.3;19.9	
2008;21.6;22.6;20.4	
2009;22.0;22.9;21.0	
2010;22.5;23.3;21.6	
2011;22.9;23.7;22.2	
2012;23.4;24.0;22.8	
2013;24.0;24.4;23.4	
2014;24.5;24.9;24.1	
2015;25.0;25.3;24.7	
2016;25.6;25.7;25.4	
