Miasto;Powiat;Województwo;Area2019;Pop2019;PopDens2019
Bukowno;olkuski;małopolskie;6459;10197;158
Busko-Zdrój;buski;świętokrzyskie;1228;15952;1299
Bychawa;lubelski;lubelskie;669;4942;739
Byczyna;kluczborski;opolskie;579;3609;623
Bydgoszcz;Bydgoszcz[a];kujawsko-pomorskie;17598;350178;1990
Bystrzyca Kłodzka;kłodzki;dolnośląskie;1074;10189;949
Bytom;Bytom[a];śląskie;6944;166795;2402
Bytom Odrzański;nowosolski;lubuskie;230;4331;1883
Bytów;bytowski;pomorskie;872;16954;1944
Cedynia;gryfiński;zachodniopomorskie;167;1573;942
Chełm;Chełm[a];lubelskie;3528;62670;1776
Chełmek;oświęcimski;małopolskie;827;9061;1096
Chełmno;chełmiński;kujawsko-pomorskie;1356;19720;1454
Chełmża;toruński;kujawsko-pomorskie;784;14532;1854
Chęciny;kielecki;świętokrzyskie;1413;4445;315
Chmielnik;kielecki;świętokrzyskie;780;3703;475
Chocianów;polkowicki;dolnośląskie;900;7911;879
Chociwel;stargardzki;zachodniopomorskie;367;3209;874
Chocz;pleszewski;wielkopolskie;688;1777;258
Chodecz;włocławski;kujawsko-pomorskie;139;1899;1366
Chodzież;chodzieski;wielkopolskie;1277;18684;1463
Chojna;gryfiński;zachodniopomorskie;1258;7390;587
Chojnice;chojnicki;pomorskie;2104;39904;1897
Chojnów;legnicki;dolnośląskie;532;13426;2524
Choroszcz;białostocki;podlaskie;1679;5867;349
Chorzele;przasnyski;mazowieckie;1751;3078;176
Chorzów;Chorzów[a];śląskie;3324;108434;3262
Choszczno;choszczeński;zachodniopomorskie;958;15248;1592
Chrzanów;chrzanowski;małopolskie;3832;36945;964
Ciechanowiec;wysokomazowiecki;podlaskie;1953;4639;238
Ciechanów;ciechanowski;mazowieckie;3278;44209;1349
Ciechocinek;aleksandrowski;kujawsko-pomorskie;1526;10596;694
Cieszanów;lubaczowski;podkarpackie;1506;1930;128
Cieszyn;cieszyński;śląskie;2861;34613;1210
Ciężkowice;tarnowski;małopolskie;999;2469;247
Cybinka;słubicki;lubuskie;529;2756;521
Czaplinek;drawski;zachodniopomorskie;1362;7124;523
Czarna Białostocka;białostocki;podlaskie;1428;9338;654
Czarna Woda;starogardzki;pomorskie;994;2805;282
Czarne;człuchowski;pomorskie;4643;5952;128
Czarnków;czarnkowsko-trzcianecki;wielkopolskie;1017;10735;1056
Czchów;brzeski;małopolskie;1409;2344;166
Czechowice-Dziedzice;bielski;śląskie;3291;35919;1091
Czeladź;będziński;śląskie;1638;31677;1934
Czempiń;kościański;wielkopolskie;332;5295;1595
Czerniejewo;gnieźnieński;wielkopolskie;1019;2663;261
Czersk;chojnicki;pomorskie;973;9912;1019
Czerwieńsk;zielonogórski;lubuskie;936;4063;434
Czerwińsk nad Wisłą;płoński;mazowieckie;548;1089;199
Czerwionka-Leszczyny;rybnicki;śląskie;3763;28266;751
Częstochowa;Częstochowa[a];śląskie;15971;222292;1392
Człopa;wałecki;zachodniopomorskie;627;2326;371
Człuchów;człuchowski;pomorskie;1278;13708;1073
Czyżew;wysokomazowiecki;podlaskie;523;2641;505
Ćmielów;ostrowiecki;świętokrzyskie;1334;3024;227
Daleszyce;kielecki;świętokrzyskie;1550;2907;188
Darłowo;sławieński;zachodniopomorskie;2021;13759;681
Dąbie;kolski;wielkopolskie;880;2002;228
Dąbrowa Białostocka;sokólski;podlaskie;2264;5553;245
Dąbrowa Górnicza;Dąbrowa Górnicza[a];śląskie;18873;120259;637
Dąbrowa Tarnowska;dąbrowski;małopolskie;2307;11906;516
Debrzno;człuchowski;pomorskie;751;5102;679
Dębica;dębicki;podkarpackie;3383;45817;1354
Dęblin;rycki;lubelskie;3833;16149;421
Dębno;myśliborski;zachodniopomorskie;1951;13843;710
Dobczyce;myślenicki;małopolskie;1297;6434;496
Dobiegniew;strzelecko-drezdenecki;lubuskie;569;3088;543
Dobra;łobeski;zachodniopomorskie;237;2326;981
Dobra;turecki;wielkopolskie;184;1387;754
Dobre Miasto;olsztyński;warmińsko-mazurskie;486;10239;2107
Dobrodzień;oleski;opolskie;1953;3722;191
Dobrzany;stargardzki;zachodniopomorskie;534;2264;424
Dobrzyca;pleszewski;wielkopolskie;1970;3128;159
Dobrzyń nad Wisłą;lipnowski;kujawsko-pomorskie;541;2139;395
Dolsk;śremski;wielkopolskie;620;1560;252
Drawno;choszczeński;zachodniopomorskie;503;2290;455
Drawsko Pomorskie;drawski;zachodniopomorskie;2233;11657;522
Drezdenko;strzelecko-drezdenecki;lubuskie;1072;10182;950
Drobin;płocki;mazowieckie;965;2889;299
Drohiczyn;siemiatycki;podlaskie;1569;1987;127
Drzewica;opoczyński;łódzkie;481;3844;799
Dukla;krośnieński;podkarpackie;548;2083;380
Duszniki-Zdrój;kłodzki;dolnośląskie;2228;4629;208
Dynów;rzeszowski;podkarpackie;2455;6138;250
Działdowo;działdowski;warmińsko-mazurskie;1147;21275;1855
Działoszyce;pińczowski;świętokrzyskie;192;908;473
Działoszyn;pajęczański;łódzkie;494;5922;1199
Dzierzgoń;sztumski;pomorskie;390;5367;1376
Dzierżoniów;dzierżoniowski;dolnośląskie;2007;33344;1661
Dziwnów;kamieński;zachodniopomorskie;652;2698;414
Elbląg;Elbląg[a];warmińsko-mazurskie;7982;120142;1505
Ełk;ełcki;warmińsko-mazurskie;2105;61928;2942
Frampol;biłgorajski;lubelskie;467;1437;308
Frombork;braniewski;warmińsko-mazurskie;759;2355;310
Garwolin;garwoliński;mazowieckie;2208;17494;792
Gąbin;płocki;mazowieckie;2795;4114;147
Gdańsk;Gdańsk[a];pomorskie;26196;466631;1781
Gdynia;Gdynia[a];pomorskie;13514;246309;1823
Giżycko;giżycki;warmińsko-mazurskie;1372;29396;2143
Glinojeck;ciechanowski;mazowieckie;737;3017;409
Gliwice;Gliwice[a];śląskie;13388;179806;1343
Głogów;głogowski;dolnośląskie;3511;67615;1926
Głogów Małopolski;rzeszowski;podkarpackie;1371;6568;479
Głogówek;prudnicki;opolskie;2206;5604;254
Głowno;zgierski;łódzkie;1984;14291;720
Głubczyce;głubczycki;opolskie;1254;12596;1004
Głuchołazy;nyski;opolskie;683;13585;1989
Głuszyca;wałbrzyski;dolnośląskie;1621;6381;394
Gniew;tczewski;pomorskie;604;6761;1119
Gniewkowo;inowrocławski;kujawsko-pomorskie;918;7141;778
Gniezno;gnieźnieński;wielkopolskie;4060;68479;1687
Gogolin;krapkowicki;opolskie;2035;6661;327
Golczewo;kamieński;zachodniopomorskie;742;2673;360
Goleniów;goleniowski;zachodniopomorskie;1178;22403;1902
Golina;koniński;wielkopolskie;352;4503;1279
Golub-Dobrzyń;golubsko-dobrzyński;kujawsko-pomorskie;750;12630;1684
Gołańcz;wągrowiecki;wielkopolskie;1264;3336;264
Gołdap;gołdapski;warmińsko-mazurskie;1720;13735;799
Goniądz;moniecki;podlaskie;428;1813;424
Gorlice;gorlicki;małopolskie;2353;27597;1173
Gorzów Śląski;oleski;opolskie;1854;2452;132
Gorzów Wielkopolski;Gorzów Wielkopolski[a];lubuskie;8572;123921;1446
Gostynin;gostyniński;mazowieckie;3240;18647;576
Gostyń;gostyński;wielkopolskie;1109;20192;1821
Gościno;kołobrzeski;zachodniopomorskie;570;2417;424
Gozdnica;żagański;lubuskie;2392;3061;128
Góra;górowski;dolnośląskie;1365;11859;869
Góra Kalwaria;piaseczyński;mazowieckie;1367;12009;878
Górowo Iławeckie;bartoszycki;warmińsko-mazurskie;332;3974;1197
Górzno;brodnicki;kujawsko-pomorskie;343;1370;399
Grabów nad Prosną;ostrzeszowski;wielkopolskie;258;1940;752
Grajewo;grajewski;podlaskie;1894;21935;1158
Grodków;brzeski;opolskie;988;8667;877
Grodzisk Mazowiecki;grodziski;mazowieckie;1319;31505;2389
Grodzisk Wielkopolski;grodziski;wielkopolskie;1821;14633;804
Grójec;grójecki;mazowieckie;857;16707;1949
Grudziądz;Grudziądz[a];kujawsko-pomorskie;5776;95045;1646
Grybów;nowosądecki;małopolskie;1695;6038;356
Gryfice;gryficki;zachodniopomorskie;1240;16527;1333
Gryfino;gryfiński;zachodniopomorskie;1181;21274;1801
Gryfów Śląski;lwówecki;dolnośląskie;663;6641;1002
Gubin;krośnieński;lubuskie;2068;16687;807
Hajnówka;hajnowski;podlaskie;2129;20690;972
Halinów;miński;mazowieckie;284;3739;1317
Hel;pucki;pomorskie;2295;3285;143
Hrubieszów;hrubieszowski;lubelskie;3303;17735;537
Iława;iławski;warmińsko-mazurskie;2188;33250;1520
Iłowa;żagański;lubuskie;918;3912;426
Iłża;radomski;mazowieckie;1583;4775;302
Imielin;bieruńsko-lędziński;śląskie;2799;9153;327
Inowrocław;inowrocławski;kujawsko-pomorskie;3042;73114;2403
Ińsko;stargardzki;zachodniopomorskie;748;1929;258
Iwonicz-Zdrój;krośnieński;podkarpackie;589;1793;304
Izbica Kujawska;włocławski;kujawsko-pomorskie;224;2631;1175
Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;335;3758;1122
Janikowo;inowrocławski;kujawsko-pomorskie;951;8758;921
Janowiec Wielkopolski;żniński;kujawsko-pomorskie;304;3966;1305
Janów Lubelski;janowski;lubelskie;1480;11940;807
Jaraczewo;jarociński;wielkopolskie;1007;1420;141
Jarocin;jarociński;wielkopolskie;1638;26256;1603
Jarosław;jarosławski;podkarpackie;3461;37690;1089
Jasień;żarski;lubuskie;479;4328;904
Jasło;jasielski;podkarpackie;3652;35192;964
Jastarnia;pucki;pomorskie;506;2710;536
Jastrowie;złotowski;wielkopolskie;7230;8598;119
Jastrzębie-Zdrój;Jastrzębie-Zdrój[a];śląskie;8533;89128;1045
Jawor;jaworski;dolnośląskie;1880;23056;1226
Jaworzno;Jaworzno[a];śląskie;15259;91563;600
Jaworzyna Śląska;świdnicki;dolnośląskie;434;5141;1185
Jedlicze;krośnieński;podkarpackie;1060;5759;543
Jedlina-Zdrój;wałbrzyski;dolnośląskie;1745;4851;278
Jedwabne;łomżyński;podlaskie;454;1632;359
Jelcz-Laskowice;oławski;dolnośląskie;1706;15792;926
Jelenia Góra;Jelenia Góra[a];dolnośląskie;10922;79480;728
Jeziorany;olsztyński;warmińsko-mazurskie;341;3225;946
Jędrzejów;jędrzejowski;świętokrzyskie;1137;15149;1332
Jordanów;suski;małopolskie;2103;5373;255
Józefów;biłgorajski;lubelskie;500;2492;498
Józefów;otwocki;mazowieckie;2391;20605;862
Józefów nad Wisłą;opolski;lubelskie;365;923;253
Jutrosin;rawicki;wielkopolskie;162;1967;1214
Kalety;tarnogórski;śląskie;7629;8626;113
Kalisz;Kalisz[a];wielkopolskie;6942;100975;1455
Kalisz Pomorski;drawski;zachodniopomorskie;1196;4377;366
Kalwaria Zebrzydowska;wadowicki;małopolskie;550;4515;821
Kałuszyn;miński;mazowieckie;1230;2890;235
Kamienna Góra;kamiennogórski;dolnośląskie;1804;19136;1061
Kamień Krajeński;sępoleński;kujawsko-pomorskie;365;2386;654
Kamień Pomorski;kamieński;zachodniopomorskie;1074;8846;824
Kamieńsk;radomszczański;łódzkie;1199;2782;232
Kańczuga;przeworski;podkarpackie;760;3171;417
Karczew;otwocki;mazowieckie;2812;9891;352
Kargowa;zielonogórski;lubuskie;455;3754;825
Karlino;białogardzki;zachodniopomorskie;940;5919;630
Karpacz;jeleniogórski;dolnośląskie;3799;4633;122
Kartuzy;kartuski;pomorskie;735;14557;1981
Katowice;Katowice[a];śląskie;16464;294510;1789
Kazimierz Dolny;puławski;lubelskie;3044;2579;85
Kazimierza Wielka;kazimierski;świętokrzyskie;533;5579;1047
Kąty Wrocławskie;wrocławski;dolnośląskie;861;6948;807
Kcynia;nakielski;kujawsko-pomorskie;684;4670;683
Kędzierzyn-Koźle;kędzierzyńsko-kozielski;opolskie;12371;61062;494
Kępice;słupski;pomorskie;611;3606;590
Kępno;kępiński;wielkopolskie;779;14123;1813
Kętrzyn;kętrzyński;warmińsko-mazurskie;1035;27366;2644
Kęty;oświęcimski;małopolskie;2305;18744;813
Kielce;Kielce[a];świętokrzyskie;10965;195774;1785
Kietrz;głubczycki;opolskie;1874;6034;322
Kisielice;iławski;warmińsko-mazurskie;337;2103;624
Kleczew;koniński;wielkopolskie;780;4186;537
Kleszczele;hajnowski;podlaskie;4671;1271;27
Klimontów;sandomierski;świętokrzyskie;467;2019;432
Kluczbork;kluczborski;opolskie;1235;23661;1916
Kłecko;gnieźnieński;wielkopolskie;962;2637;274
Kłobuck;kłobucki;śląskie;4746;12957;273
Kłodawa;kolski;wielkopolskie;431;6481;1504
Kłodzko;kłodzki;dolnośląskie;2484;26954;1085
Knurów;gliwicki;śląskie;3395;38402;1131
Knyszyn;moniecki;podlaskie;2368;2755;116
Kobylin;krotoszyński;wielkopolskie;487;3245;666
Kobyłka;wołomiński;mazowieckie;1964;23706;1207
Kock;lubartowski;lubelskie;1678;3315;198
Kolbuszowa;kolbuszowski;podkarpackie;798;9133;1144
Kolno;kolneński;podlaskie;2507;10261;409
Kolonowskie;strzelecki;opolskie;5570;3328;60
Koluszki;łódzki wschodni;łódzkie;990;13026;1316
Kołaczyce;jasielski;podkarpackie;715;1403;196
Koło;kolski;wielkopolskie;1385;21994;1588
Kołobrzeg;kołobrzeski;zachodniopomorskie;2567;46367;1806
Koniecpol;częstochowski;śląskie;3692;5950;161
Konin;Konin[a];wielkopolskie;8231;74151;901
Konstancin-Jeziorna;piaseczyński;mazowieckie;1774;17086;963
Konstantynów Łódzki;pabianicki;łódzkie;2725;18096;664
Końskie;konecki;świętokrzyskie;1770;19330;1092
Koprzywnica;sandomierski;świętokrzyskie;1790;2488;139
Korfantów;nyski;opolskie;1023;1817;178
Koronowo;bydgoski;kujawsko-pomorskie;2815;11182;397
Korsze;kętrzyński;warmińsko-mazurskie;403;4259;1057
Kosów Lacki;sokołowski;mazowieckie;1157;2088;180
Kostrzyn;poznański;wielkopolskie;798;9677;1213
Kostrzyn nad Odrą;gorzowski;lubuskie;4614;17776;385
Koszalin;Koszalin[a];zachodniopomorskie;9834;107321;1091
Koszyce;proszowicki;małopolskie;325;782;241
Kościan;kościański;wielkopolskie;901;23923;2655
Kościerzyna;kościerski;pomorskie;1586;23759;1498
Kowal;włocławski;kujawsko-pomorskie;468;3499;748
Kowalewo Pomorskie;golubsko-dobrzyński;kujawsko-pomorskie;445;4143;931
Kowary;jeleniogórski;dolnośląskie;3739;10957;293
Koziegłowy;myszkowski;śląskie;2671;2463;92
Kozienice;kozienicki;mazowieckie;1045;17331;1658
Koźmin Wielkopolski;krotoszyński;wielkopolskie;589;6536;1110
Kożuchów;nowosolski;lubuskie;594;9490;1598
Kórnik;poznański;wielkopolskie;599;7847;1310
Krajenka;złotowski;wielkopolskie;376;3638;968
Kraków;Kraków[a];małopolskie;32685;771069;2359
Krapkowice;krapkowicki;opolskie;2101;16381;780
Krasnobród;zamojski;lubelskie;699;3094;443
Krasnystaw;krasnostawski;lubelskie;4213;18778;446
Kraśnik;kraśnicki;lubelskie;2610;34539;1323
Krobia;gostyński;wielkopolskie;705;4313;612
Krosno;Krosno[a];podkarpackie;4350;46511;1069
Krosno Odrzańskie;krośnieński;lubuskie;815;11378;1396
Krośniewice;kutnowski;łódzkie;418;4375;1047
Krotoszyn;krotoszyński;wielkopolskie;2254;28969;1285
Kruszwica;inowrocławski;kujawsko-pomorskie;664;8818;1328
Krynica Morska;nowodworski;pomorskie;11856;1303;11
Krynica-Zdrój;nowosądecki;małopolskie;3968;10686;269
Krynki;sokólski;podlaskie;383;2415;631
Krzanowice;raciborski;śląskie;308;2158;701
Krzepice;kłobucki;śląskie;2766;4462;161
Krzeszowice;krakowski;małopolskie;1697;10051;592
Krzywiń;kościański;wielkopolskie;227;1714;755
Krzyż Wielkopolski;czarnkowsko-trzcianecki;wielkopolskie;581;6216;1070
Książ Wielkopolski;śremski;wielkopolskie;196;2726;1391
Kudowa-Zdrój;kłodzki;dolnośląskie;3390;9954;294
Kunów;ostrowiecki;świętokrzyskie;726;2979;410
Kutno;kutnowski;łódzkie;3359;44172;1315
Kuźnia Raciborska;raciborski;śląskie;3149;5386;171
Kwidzyn;kwidzyński;pomorskie;2154;38481;1786
Lądek-Zdrój;kłodzki;dolnośląskie;2032;5622;277
Legionowo;legionowski;mazowieckie;1354;54066;3993
Legnica;Legnica[a];dolnośląskie;5629;99752;1772
Lesko;leski;podkarpackie;1533;5431;354
Leszno;Leszno[a];wielkopolskie;3186;63952;2007
Leśna;lubański;dolnośląskie;856;4484;524
Leśnica;strzelecki;opolskie;1450;2585;178
Lewin Brzeski;brzeski;opolskie;1164;5743;493
Leżajsk;leżajski;podkarpackie;2058;13891;675
Lębork;lęborski;pomorskie;1786;35367;1980
Lędziny;bieruńsko-lędziński;śląskie;3165;16822;532
Libiąż;chrzanowski;małopolskie;3585;17084;477
Lidzbark;działdowski;warmińsko-mazurskie;568;7817;1376
Lidzbark Warmiński;lidzbarski;warmińsko-mazurskie;1435;15820;1102
Limanowa;limanowski;małopolskie;1870;15158;811
Lipiany;pyrzycki;zachodniopomorskie;554;3946;712
Lipno;lipnowski;kujawsko-pomorskie;1099;14478;1317
Lipsk;augustowski;podlaskie;498;2350;472
Lipsko;lipski;mazowieckie;1570;5544;353
Lubaczów;lubaczowski;podkarpackie;2573;12078;469
Lubań;lubański;dolnośląskie;1612;21168;1313
Lubartów;lubartowski;lubelskie;1391;21995;1581
Lubawa;iławski;warmińsko-mazurskie;1684;10381;616
Lubawka;kamiennogórski;dolnośląskie;2244;6063;270
Lubień Kujawski;włocławski;kujawsko-pomorskie;231;1397;605
Lubin;lubiński;dolnośląskie;4077;72581;1780
Lublin;Lublin[a];lubelskie;14747;339682;2303
Lubliniec;lubliniecki;śląskie;8936;23818;267
Lubniewice;sulęciński;lubuskie;1211;2042;169
Lubomierz;lwówecki;dolnośląskie;805;1990;247
Luboń;poznański;wielkopolskie;1351;31783;2353
Lubowidz;żuromiński;mazowieckie;527;1697;322
Lubraniec;włocławski;kujawsko-pomorskie;197;3028;1537
Lubsko;żarski;lubuskie;1251;14000;1119
Lubycza Królewska;tomaszowski;lubelskie;392;2443;623
Lututów;wieruszowski;łódzkie;1895;2249;119
Lwówek;nowotomyski;wielkopolskie;316;2977;942
Lwówek Śląski;lwówecki;dolnośląskie;1665;8870;533
Łabiszyn;żniński;kujawsko-pomorskie;289;4501;1557
Łagów;kielecki;świętokrzyskie;822;1587;193
Łańcut;łańcucki;podkarpackie;1942;17738;913
Łapy;białostocki;podlaskie;1214;15643;1289
Łasin;grudziądzki;kujawsko-pomorskie;479;3298;689
Łask;łaski;łódzkie;1567;17344;1107
Łaskarzew;garwoliński;mazowieckie;1535;4860;317
Łaszczów;tomaszowski;lubelskie;501;2154;430
Łaziska Górne;mikołowski;śląskie;2007;22334;1113
Łazy;zawierciański;śląskie;860;6845;796
Łeba;lęborski;pomorskie;1656;3675;222
Łęczna;łęczyński;lubelskie;1900;19006;1000
Łęczyca;łęczycki;łódzkie;895;14094;1575
Łęknica;żarski;lubuskie;1643;2483;151
Łobez;łobeski;zachodniopomorskie;1284;10241;798
Łobżenica;pilski;wielkopolskie;325;2972;914
Łochów;węgrowski;mazowieckie;1339;6821;509
Łomianki;warszawski zachodni;mazowieckie;840;16977;2021
Łomża;Łomża[a];podlaskie;3267;63000;1928
Łosice;łosicki;mazowieckie;2374;7071;298
Łowicz;łowicki;łódzkie;2342;28501;1217
Łódź;Łódź[a];łódzkie;29325;685285;2337
Łuków;łukowski;lubelskie;3575;30025;840
Maków Mazowiecki;makowski;mazowieckie;1028;9787;952
Maków Podhalański;suski;małopolskie;2012;5853;291
Malbork;malborski;pomorskie;1716;38570;2248
Małogoszcz;jędrzejowski;świętokrzyskie;968;3769;389
Małomice;żagański;lubuskie;537;3489;650
Margonin;chodzieski;wielkopolskie;515;3019;586
Marki;wołomiński;mazowieckie;2615;33914;1297
Maszewo;goleniowski;zachodniopomorskie;554;3363;607
Miasteczko Śląskie;tarnogórski;śląskie;6783;7449;110
Miastko;bytowski;pomorskie;568;10473;1844
Michałowo;białostocki;podlaskie;215;3047;1417
Miechów;miechowski;małopolskie;1549;11652;752
Miejska Górka;rawicki;wielkopolskie;314;3244;1033
Mielec;mielecki;podkarpackie;4689;60478;1290
Mielno;koszaliński;zachodniopomorskie;3345;2952;88
Mieroszów;wałbrzyski;dolnośląskie;1031;4106;398
Mieszkowice;gryfiński;zachodniopomorskie;525;3645;694
Międzybórz;oleśnicki;dolnośląskie;641;2352;367
Międzychód;międzychodzki;wielkopolskie;698;10623;1522
Międzylesie;kłodzki;dolnośląskie;1437;2591;180
Międzyrzec Podlaski;bialski;lubelskie;2003;16796;839
Międzyrzecz;międzyrzecki;lubuskie;1026;18099;1764
Międzyzdroje;kamieński;zachodniopomorskie;516;5399;1046
Mikołajki;mrągowski;warmińsko-mazurskie;932;3838;412
Mikołów;mikołowski;śląskie;7921;40813;515
Mikstat;ostrzeszowski;wielkopolskie;252;1855;736
Milanówek;grodziski;mazowieckie;1344;16306;1213
Milicz;milicki;dolnośląskie;1350;11357;841
Miłakowo;ostródzki;warmińsko-mazurskie;876;2560;292
Miłomłyn;ostródzki;warmińsko-mazurskie;1238;2442;197
Miłosław;wrzesiński;wielkopolskie;407;3572;878
Mińsk Mazowiecki;miński;mazowieckie;1318;40799;3096
Mirosławiec;wałecki;zachodniopomorskie;241;3089;1282
Mirsk;lwówecki;dolnośląskie;1466;3902;266
Mława;mławski;mazowieckie;3480;31234;898
Młynary;elbląski;warmińsko-mazurskie;276;1780;645
Modliborzyce;janowski;lubelskie;789;1460;185
Mogielnica;grójecki;mazowieckie;1298;2260;174
Mogilno;mogileński;kujawsko-pomorskie;832;11880;1428
Mońki;moniecki;podlaskie;766;10010;1307
Morawica;kielecki;świętokrzyskie;438;1695;387
Morąg;ostródzki;warmińsko-mazurskie;611;13838;2265
Mordy;siedlecki;mazowieckie;454;1793;395
Moryń;gryfiński;zachodniopomorskie;554;1626;294
Mosina;poznański;wielkopolskie;1350;14015;1038
Mrągowo;mrągowski;warmińsko-mazurskie;1481;21708;1466
Mrocza;nakielski;kujawsko-pomorskie;501;4366;871
Mrozy;miński;mazowieckie;773;3552;460
Mszana Dolna;limanowski;małopolskie;2710;7948;293
Mszczonów;żyrardowski;mazowieckie;856;6386;746
Murowana Goślina;poznański;wielkopolskie;862;10396;1206
Muszyna;nowosądecki;małopolskie;2443;4831;198
Mysłowice;Mysłowice[a];śląskie;6562;74586;1137
Myszków;myszkowski;śląskie;7359;31762;432
Myszyniec;ostrołęcki;mazowieckie;1122;3426;305
Myślenice;myślenicki;małopolskie;3022;18386;608
Myślibórz;myśliborski;zachodniopomorskie;1504;11235;747
Nakło nad Notecią;nakielski;kujawsko-pomorskie;1082;18353;1696
Nałęczów;puławski;lubelskie;1382;3768;273
Namysłów;namysłowski;opolskie;2261;16490;729
Narol;lubaczowski;podkarpackie;1242;2076;167
Nasielsk;nowodworski;mazowieckie;1257;7707;613
Nekla;wrzesiński;wielkopolskie;1979;3754;190
Nidzica;nidzicki;warmińsko-mazurskie;686;13820;2015
Niemcza;dzierżoniowski;dolnośląskie;1981;2974;150
Niemodlin;opolski;opolskie;1311;6359;485
Niepołomice;wielicki;małopolskie;2740;13001;474
Nieszawa;aleksandrowski;kujawsko-pomorskie;979;1886;193
Nisko;niżański;podkarpackie;6096;15359;252
Nowa Dęba;tarnobrzeski;podkarpackie;1670;11181;670
Nowa Ruda;kłodzki;dolnośląskie;3705;22246;600
Nowa Sarzyna;leżajski;podkarpackie;915;5880;643
Nowa Słupia;kielecki;świętokrzyskie;1397;1361;97
Nowa Sól;nowosolski;lubuskie;2180;38843;1782
Nowe;świecki;kujawsko-pomorskie;357;5864;1643
Nowe Brzesko;proszowicki;małopolskie;726;1683;232
