Miasto;Powiat;Województwo;Area2019;Pop2019;PopDens2019
Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie;723;12220;1690
Aleksandrów Łódzki;zgierski;łódzkie;1382;21682;1569
Alwernia;chrzanowski;małopolskie;888;3370;380
Andrychów;wadowicki;małopolskie;1033;20260;1961
Annopol;kraśnicki;lubelskie;773;2528;327
Augustów;augustowski;podlaskie;8090;30242;374
Babimost;zielonogórski;lubuskie;365;3927;1076
Baborów;głubczycki;opolskie;1186;2920;246
Baranów Sandomierski;tarnobrzeski;podkarpackie;915;1463;160
Barcin;żniński;kujawsko-pomorskie;370;7468;2018
Barczewo;olsztyński;warmińsko-mazurskie;458;7535;1645
Bardo;ząbkowicki;dolnośląskie;471;2563;544
Barlinek;myśliborski;zachodniopomorskie;1755;13803;786
Bartoszyce;bartoszycki;warmińsko-mazurskie;1179;23609;2002
Barwice;szczecinecki;zachodniopomorskie;752;3723;495
Bełchatów;bełchatowski;łódzkie;3464;57432;1658
Bełżyce;lubelski;lubelskie;2346;6551;279
Będzin;będziński;śląskie;3737;56804;1520
Biała;prudnicki;opolskie;1472;2443;166
Biała Piska;piski;warmińsko-mazurskie;324;4030;1244
Biała Podlaska;Biała Podlaska[a];lubelskie;4940;57352;1161
Biała Rawska;rawski;łódzkie;953;3197;335
Białobrzegi;białobrzeski;mazowieckie;751;6980;929
Białogard;białogardzki;zachodniopomorskie;2573;24339;946
Biały Bór;szczecinecki;zachodniopomorskie;1282;2199;172
Białystok;Białystok[a];podlaskie;10213;297459;2913
Biecz;gorlicki;małopolskie;1771;4599;260
Bielawa;dzierżoniowski;dolnośląskie;3621;30055;830
Bielsk Podlaski;bielski;podlaskie;2701;25370;939
Bielsko-Biała;Bielsko-Biała[a];śląskie;12451;171259;1375
Bieruń;bieruńsko-lędziński;śląskie;4049;19605;484
Bierutów;oleśnicki;dolnośląskie;836;4871;583
Bieżuń;żuromiński;mazowieckie;1207;1856;154
Biłgoraj;biłgorajski;lubelskie;2110;26391;1251
Biskupiec;olsztyński;warmińsko-mazurskie;500;10602;2120
Bisztynek;bartoszycki;warmińsko-mazurskie;216;2365;1095
Blachownia;częstochowski;śląskie;3666;9594;262
Błaszki;sieradzki;łódzkie;162;2122;1310
Błażowa;rzeszowski;podkarpackie;423;2151;509
Błonie;warszawski zachodni;mazowieckie;909;12327;1356
Bobolice;koszaliński;zachodniopomorskie;477;4018;842
Bobowa;gorlicki;małopolskie;718;3136;437
Bochnia;bocheński;małopolskie;2987;29922;1002
Bodzentyn;kielecki;świętokrzyskie;865;2240;259
Bogatynia;zgorzelecki;dolnośląskie;5988;17559;293
Boguchwała;rzeszowski;podkarpackie;911;6117;671
Boguszów-Gorce;wałbrzyski;dolnośląskie;2702;15444;572
Bojanowo;rawicki;wielkopolskie;234;2923;1249
Bolesławiec;bolesławiecki;dolnośląskie;2357;38935;1652
Bolków;jaworski;dolnośląskie;768;5001;651
Borek Wielkopolski;gostyński;wielkopolskie;629;2526;402
Borne Sulinowo;szczecinecki;zachodniopomorskie;1815;5090;280
Braniewo;braniewski;warmińsko-mazurskie;1241;17071;1376
Brańsk;bielski;podlaskie;3243;3774;116
Brodnica;brodnicki;kujawsko-pomorskie;2315;28774;1243
Brok;ostrowski;mazowieckie;2806;1940;69
Brusy;chojnicki;pomorskie;520;5232;1006
Brwinów;pruszkowski;mazowieckie;1010;13531;1340
Brzeg;brzeski;opolskie;1461;35930;2459
Brzeg Dolny;wołowski;dolnośląskie;1720;12492;726
Brzesko;brzeski;małopolskie;1192;16825;1411
Brzeszcze;oświęcimski;małopolskie;1904;11226;590
Brześć Kujawski;włocławski;kujawsko-pomorskie;704;4659;662
Brzeziny;brzeziński;łódzkie;2158;12547;581
Brzostek;dębicki;podkarpackie;876;2742;313
Brzozów;brzozowski;podkarpackie;1146;7455;651
Buk;poznański;wielkopolskie;296;6064;2049
