"id";"name";"year";"elecons";"allowances";"evictions";"crimes";"urban";"wages";"nonworking";"unemplyshare";"pop";"ecocrimes";"propcrimes";"lifecrimes"
"011212161000";"Powiat m. Kraków";"12";1014.1;88452;NA;NA;100;103.6;56.1;4.9;758334;NA;NA;NA
"011212161000";"Powiat m. Kraków";"13";1009.5;92569;NA;31326;100;103.1;57.8;5.1;758992;2446;21099;514
"011212161000";"Powiat m. Kraków";"14";972.3;86081;NA;26337;100;103.7;59.3;4.6;761873;3061;17405;551
"011212161000";"Powiat m. Kraków";"15";952.4;82109;NA;24348;100;106.8;61.3;4.2;761069;4667;15847;325
"011212161000";"Powiat m. Kraków";"16";958.7;77467;NA;23704;100;108;63.5;3.5;765320;4810;13420;341
"011212161000";"Powiat m. Kraków";"17";1025.1;70976;NA;30206;100;109.7;65.8;2.8;767348;12827;12312;369
"011212161000";"Powiat m. Kraków";"18";1007.3;64028;NA;18109;100;111;67.8;2.5;771069;2956;10649;292
"011212161000";"Powiat m. Kraków";"19";1010;56589;NA;19539;100;113.5;69.2;2.1;779115;3550;11630;489
"011212161000";"Powiat m. Kraków";"20";1007;48437;48;17617;100;117.4;0;3.2;800531;3317;9136;244
"011212161000";"Powiat m. Kraków";"21";1025.9;50818;NA;19132;100;120;0;2.9;802583;5074;12966;226
"011212161000";"Powiat m. Kraków";"22";984.1;57319;101;21819;100;121.7;0;2.5;803282;5243;13886;231
"011212205000";"Powiat gorlicki";"02";330.3;NA;NA;NA;NA;79;71.1;NA;106305;NA;NA;NA
"011212205000";"Powiat gorlicki";"03";329.4;NA;NA;NA;NA;80;68.8;18.6;106444;NA;NA;NA
"011212205000";"Powiat gorlicki";"04";501.2;19211;NA;NA;NA;80.1;66.7;17.2;106603;NA;NA;NA
"011212205000";"Powiat gorlicki";"05";569.7;17687;NA;NA;31.19;79.3;64.8;15.9;106544;NA;NA;NA
"011212205000";"Powiat gorlicki";"06";584.3;16335;NA;NA;31.14;80.6;63;14.6;106676;NA;NA;NA
"011212205000";"Powiat gorlicki";"07";595.9;12984;NA;NA;30.91;80.3;61.5;10.7;106591;NA;NA;NA
"011212205000";"Powiat gorlicki";"08";617.4;10550;NA;NA;30.9;78.9;60.4;8.5;106799;NA;NA;NA
"011212205000";"Powiat gorlicki";"09";617;9387;NA;NA;33.6;77.6;59.8;9.8;107017;NA;NA;NA
"011212205000";"Powiat gorlicki";"10";628.4;9113;NA;NA;33.49;76.6;59.3;9.4;109175;NA;NA;NA
"011212205000";"Powiat gorlicki";"11";622.5;8523;NA;NA;33.31;75.2;59.4;8.6;109225;NA;NA;NA
"011212205000";"Powiat gorlicki";"12";624.7;7815;NA;NA;33.18;76.1;59.3;9.1;109265;NA;NA;NA
"011212205000";"Powiat gorlicki";"13";619.3;7592;NA;1675;33.08;75.3;59.4;10.1;109201;277;787;47
"011212205000";"Powiat gorlicki";"14";640.1;7401;NA;1213;32.96;73.7;59.9;8.4;109181;177;549;34
"011212205000";"Powiat gorlicki";"15";625;6696;NA;1089;32.8;73.7;60.4;7.6;109140;214;485;36
"011212205000";"Powiat gorlicki";"16";621.8;5909;NA;1525;32.66;74.1;61.2;5.6;109049;145;413;27
"011212205000";"Powiat gorlicki";"17";653.1;5275;NA;1281;32.58;75.8;62.1;4.2;109076;273;402;29
"011212205000";"Powiat gorlicki";"18";651;4770;NA;1939;32.38;74.4;63.1;3.7;109104;248;402;30
"011212205000";"Powiat gorlicki";"19";662.6;4511;NA;3164;32.24;74.9;64.5;3.2;108886;1240;569;33
"011212205000";"Powiat gorlicki";"20";699.2;4036;0;2680;31.88;75.3;0;4.4;106921;1439;492;43
"011212205000";"Powiat gorlicki";"21";698.4;3960;NA;1741;31.57;77;0;3.7;106278;902;493;16
"011212205000";"Powiat gorlicki";"22";640;4125;4;2953;31.42;75;0;3.5;105782;294;494;26
"011212207000";"Powiat limanowski";"02";315.6;NA;NA;NA;NA;75.2;77.5;NA;119449;NA;NA;NA
"011212207000";"Powiat limanowski";"03";317.8;NA;NA;NA;NA;76.4;75.3;16.8;120222;NA;NA;NA
"011212207000";"Powiat limanowski";"04";562;6272;NA;NA;NA;75;73.4;16.1;121007;NA;NA;NA
"011212207000";"Powiat limanowski";"05";578.1;5481;NA;NA;18.21;75.7;71.7;14.3;121508;NA;NA;NA
"011212207000";"Powiat limanowski";"06";595.8;4684;NA;NA;18.18;75.1;70.2;12.1;122128;NA;NA;NA
"011212207000";"Powiat limanowski";"07";597.7;3837;NA;NA;18.18;76.6;68.9;10.2;122685;NA;NA;NA
"011212207000";"Powiat limanowski";"08";625.7;3245;NA;NA;18.06;75.2;67.6;9.6;123405;NA;NA;NA
"011212207000";"Powiat limanowski";"09";649;3081;NA;NA;18.04;76.6;66.1;11.9;124278;NA;NA;NA
"011212207000";"Powiat limanowski";"10";647.4;2975;NA;NA;18.12;75.8;65;12.4;126737;NA;NA;NA
"011212207000";"Powiat limanowski";"11";637.2;2625;NA;NA;18.01;76.2;64.2;13.1;127387;NA;NA;NA
"011212207000";"Powiat limanowski";"12";641.4;2606;NA;NA;17.97;76.5;63.4;13.3;128045;NA;NA;NA
"011212207000";"Powiat limanowski";"13";642.2;2571;NA;2716;17.89;77.2;63.1;13.4;128545;424;814;61
"011212207000";"Powiat limanowski";"14";645.1;2558;NA;1711;17.79;77.8;62.6;11.1;129073;242;684;70
"011212207000";"Powiat limanowski";"15";652.5;2471;NA;1247;17.77;76.3;62.4;9.5;129699;173;619;37
"011212207000";"Powiat limanowski";"16";655.4;1938;NA;1869;17.71;76;62.5;6.8;130289;397;579;48
"011212207000";"Powiat limanowski";"17";683.4;1845;NA;1449;17.63;75.9;62.7;5.7;130964;136;450;36
"011212207000";"Powiat limanowski";"18";686.3;1590;NA;1354;17.57;75.4;62.9;5.2;131523;421;415;30
"011212207000";"Powiat limanowski";"19";692.1;1294;NA;1556;17.49;74.7;63.6;4.8;131764;580;506;28
"011212207000";"Powiat limanowski";"20";725.8;1282;0;1471;17.14;75.4;0;5.6;131145;371;445;22
"011212207000";"Powiat limanowski";"21";744.7;1240;NA;2517;17.06;77.5;0;4.4;131332;701;1522;20
"011212207000";"Powiat limanowski";"22";668.9;1268;0;1854;16.98;77.3;0;4.5;131549;450;696;24
"011212210000";"Powiat nowosądecki";"02";321;NA;NA;NA;NA;77.4;76.4;NA;193540;NA;NA;NA
"011212210000";"Powiat nowosądecki";"03";323.3;NA;NA;NA;NA;78.6;74.1;17.7;194983;NA;NA;NA
"011212210000";"Powiat nowosądecki";"04";564.6;10784;NA;NA;NA;77.7;72;16.9;196054;NA;NA;NA
"011212210000";"Powiat nowosądecki";"05";583.6;9525;NA;NA;18.79;78.7;70;14.5;197279;NA;NA;NA
"011212210000";"Powiat nowosądecki";"06";601.8;8398;NA;NA;18.65;78;68.2;11.5;198630;NA;NA;NA
"011212210000";"Powiat nowosądecki";"07";609.5;7025;NA;NA;18.45;77.1;66.4;9.4;200015;NA;NA;NA
"011212210000";"Powiat nowosądecki";"08";642.4;5580;NA;NA;18.31;75.3;65;7.1;201412;NA;NA;NA
"011212210000";"Powiat nowosądecki";"09";639.5;4969;NA;NA;18.1;75.8;63.7;9;202701;NA;NA;NA
"011212210000";"Powiat nowosądecki";"10";663.1;5126;NA;NA;18.28;76;62.8;9.9;207467;NA;NA;NA
"011212210000";"Powiat nowosądecki";"11";647;4900;NA;NA;18.08;76;62;9.9;208715;NA;NA;NA
"011212210000";"Powiat nowosądecki";"12";655.3;4773;NA;NA;17.9;75.1;61.4;10.3;209988;NA;NA;NA
"011212210000";"Powiat nowosądecki";"13";648;5046;NA;2811;17.73;74.1;60.9;10.1;211045;262;1383;90
"011212210000";"Powiat nowosądecki";"14";681.6;4721;NA;3246;17.51;74.7;60.6;8.3;211830;1459;983;70
"011212210000";"Powiat nowosądecki";"15";655.7;4723;NA;4169;17.38;75.7;60.5;7.6;212894;1589;913;55
"011212210000";"Powiat nowosądecki";"16";655.1;4222;NA;1761;17.22;75.5;60.7;5.7;213864;366;687;40
"011212210000";"Powiat nowosądecki";"17";686.8;4108;NA;4991;17.07;75;60.9;4.8;214999;3413;3879;48
"011212210000";"Powiat nowosądecki";"18";689.8;4347;NA;3198;16.88;76.1;61.4;4.6;216176;1644;698;72
"011212210000";"Powiat nowosądecki";"19";700.8;2714;NA;5550;16.74;75.4;61.9;4.5;216796;3883;751;40
"011212210000";"Powiat nowosądecki";"20";730.6;2390;0;11958;16.31;75.3;0;5.5;214502;10474;650;46
"011212210000";"Powiat nowosądecki";"21";767.4;2312;NA;3193;16.13;75.7;0;4.7;214661;1834;733;39
"011212210000";"Powiat nowosądecki";"22";712.4;2241;1;2338;15.94;76.6;0;4.8;214933;945;1207;39
"011212262000";"Powiat m. Nowy Sącz";"02";620.2;NA;NA;NA;NA;86.5;59.5;NA;84421;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"03";618.8;NA;NA;NA;NA;87.2;57.8;14.1;84399;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"04";662.7;24964;NA;NA;NA;84.5;56.6;13.7;84463;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"05";676.8;24960;NA;NA;100;84.3;55.6;12.4;84729;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"06";682.6;22812;NA;NA;100;81.2;54.9;10.5;84487;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"07";682.8;20145;NA;NA;100;82.8;54.4;7.5;84468;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"08";721.6;16868;NA;NA;100;82.4;54.6;6.7;84475;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"09";708.9;15487;NA;NA;100;82.2;54.4;8.1;84556;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"10";746.7;15354;NA;NA;100;82.3;55.6;8.1;84368;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"11";729.8;14537;NA;NA;100;80.7;56.4;8.3;84325;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"12";715.7;15082;NA;NA;100;79.7;57.4;9.2;84129;NA;NA;NA
"011212262000";"Powiat m. Nowy Sącz";"13";705.3;15095;NA;5158;100;79.9;58.8;9.1;83943;2109;2232;56
"011212262000";"Powiat m. Nowy Sącz";"14";702.2;15829;NA;4200;100;79.8;59.8;7.6;83853;1744;1402;42
"011212262000";"Powiat m. Nowy Sącz";"15";685.3;14920;NA;4541;100;79.6;61.1;6.7;83903;1922;2162;43
"011212262000";"Powiat m. Nowy Sącz";"16";684.1;13444;NA;5154;100;79.6;62.7;5.6;83993;2071;3216;23
"011212262000";"Powiat m. Nowy Sącz";"17";716.2;12123;NA;3104;100;79;64.4;3.8;84041;659;1980;26
"011212262000";"Powiat m. Nowy Sącz";"18";709.5;10552;NA;3611;100;79.9;66.2;3;83896;1020;1630;26
"011212262000";"Powiat m. Nowy Sącz";"19";713.4;9114;NA;6164;100;79.4;67.9;2.5;83794;4140;1035;32
"011212262000";"Powiat m. Nowy Sącz";"20";747.1;8306;0;2495;100;80.9;0;3.9;81435;496;1415;27
"011212262000";"Powiat m. Nowy Sącz";"21";772.4;7564;NA;7380;100;80.6;0;3;80979;5639;1193;17
"011212262000";"Powiat m. Nowy Sącz";"22";728.1;7852;2;5473;100;81.7;0;3.2;80587;2068;1548;25
"011212303000";"Powiat chrzanowski";"02";761.3;NA;NA;NA;NA;92.4;59.1;NA;129030;NA;NA;NA
"011212303000";"Powiat chrzanowski";"03";763.3;NA;NA;NA;NA;92.7;57.3;12.4;128741;NA;NA;NA
"011212303000";"Powiat chrzanowski";"04";784.5;28412;NA;NA;NA;98.9;56.1;11.7;128608;NA;NA;NA
"011212303000";"Powiat chrzanowski";"05";786.6;25782;NA;NA;62.2;95.6;55;10.6;128313;NA;NA;NA
"011212303000";"Powiat chrzanowski";"06";799.8;23766;NA;NA;61.97;91.2;54.2;8.1;128093;NA;NA;NA
