"id";"name";"year";"elecons";"allowances";"evictions";"crimes";"urban";"wages";"nonworking";"unemplyshare";"pop";"ecocrimes";"propcrimes";"lifecrimes"
"011212001000";"Powiat bocheński";"02";390.4;NA;NA;NA;NA;84;70.2;NA;97962;NA;NA;NA
"011212001000";"Powiat bocheński";"03";399.7;NA;NA;NA;NA;83.5;67.8;9.6;98394;NA;NA;NA
"011212001000";"Powiat bocheński";"04";582.3;6799;NA;NA;NA;82.5;65.5;8.7;100063;NA;NA;NA
"011212001000";"Powiat bocheński";"05";572.5;5949;NA;NA;32.1;80.4;63.6;7.6;100332;NA;NA;NA
"011212001000";"Powiat bocheński";"06";573;5276;NA;NA;31.91;82.4;62;5.5;100726;NA;NA;NA
"011212001000";"Powiat bocheński";"07";619.1;4686;NA;NA;31.81;84.5;60.4;4;101204;NA;NA;NA
"011212001000";"Powiat bocheński";"08";643.8;3760;NA;NA;31.85;83.3;59.2;3.2;101602;NA;NA;NA
"011212001000";"Powiat bocheński";"09";654.3;3181;NA;NA;31.79;85.4;58.5;5;102181;NA;NA;NA
"011212001000";"Powiat bocheński";"10";702.7;3323;NA;NA;31.89;85.5;58.2;5.2;103231;NA;NA;NA
"011212001000";"Powiat bocheński";"11";675.9;3304;NA;NA;31.84;86.3;58.1;5.7;103869;NA;NA;NA
"011212001000";"Powiat bocheński";"12";691.9;3098;NA;NA;31.68;85.7;58.2;6.8;104404;NA;NA;NA
"011212001000";"Powiat bocheński";"13";693.2;3241;NA;2023;31.48;83.3;58.6;6.6;104765;432;653;40
"011212001000";"Powiat bocheński";"14";685.3;3218;NA;1604;31.28;83.9;59.3;5.6;105083;482;726;29
"011212001000";"Powiat bocheński";"15";694.2;3163;NA;1515;31.18;83.5;59.9;4.2;105416;330;665;29
"011212001000";"Powiat bocheński";"16";703.3;2859;NA;1660;31.04;84.1;61;3.8;105747;254;459;25
"011212001000";"Powiat bocheński";"17";741;3083;NA;2130;30.84;83.6;62.1;3.2;106096;341;420;20
"011212001000";"Powiat bocheński";"18";749.9;2454;NA;6384;30.67;82.8;63.4;2.9;106514;4856;516;32
"011212001000";"Powiat bocheński";"19";748.8;2075;NA;2032;30.39;82.8;64.9;1.7;106858;604;764;18
"011212001000";"Powiat bocheński";"20";765.6;1658;1;2036;29.77;81.9;0;2.7;106838;405;736;19
"011212001000";"Powiat bocheński";"21";774.7;1607;NA;3398;29.57;84.3;0;2.4;106715;345;642;18
"011212001000";"Powiat bocheński";"22";705.1;1606;3;1897;29.42;84.2;0;1.8;106878;414;510;25
"011212006000";"Powiat krakowski";"02";615.8;NA;NA;NA;NA;90.7;65.1;NA;239344;NA;NA;NA
"011212006000";"Powiat krakowski";"03";634.4;NA;NA;NA;NA;90.7;63;7.7;241080;NA;NA;NA
"011212006000";"Powiat krakowski";"04";864.8;11435;NA;NA;NA;90;61.4;6.9;242731;NA;NA;NA
"011212006000";"Powiat krakowski";"05";899.2;10873;NA;NA;17.95;90.8;59.8;6;244283;NA;NA;NA
"011212006000";"Powiat krakowski";"06";928.8;8944;NA;NA;17.76;90.9;58.5;4.7;245944;NA;NA;NA
"011212006000";"Powiat krakowski";"07";931.7;7188;NA;NA;17.58;92.6;57.3;3.8;247903;NA;NA;NA
"011212006000";"Powiat krakowski";"08";982.3;5723;NA;NA;17.44;90.8;56.6;3.4;250395;NA;NA;NA
"011212006000";"Powiat krakowski";"09";990.3;5226;NA;NA;17.33;90.9;56;5.2;253344;NA;NA;NA
"011212006000";"Powiat krakowski";"10";1014;5217;NA;NA;17.35;93;56;5.9;259261;NA;NA;NA
"011212006000";"Powiat krakowski";"11";1000.1;5308;NA;NA;17.21;93.2;56.2;5.5;261857;NA;NA;NA
"011212006000";"Powiat krakowski";"12";986.3;6505;NA;NA;17.05;95.4;56.7;5.8;264639;NA;NA;NA
"011212006000";"Powiat krakowski";"13";969.3;5015;NA;4953;16.92;96.9;57.4;5.8;266649;543;2366;107
"011212006000";"Powiat krakowski";"14";968.2;5382;NA;3814;16.75;96.3;58.2;4.7;268517;282;1913;113
"011212006000";"Powiat krakowski";"15";938.8;5121;NA;3789;16.59;101.3;59.2;3.8;270490;704;1526;83
"011212006000";"Powiat krakowski";"16";951.8;4747;NA;3013;16.5;105.1;60.3;3.5;272591;309;1502;80
"011212006000";"Powiat krakowski";"17";1007.6;4163;NA;3872;16.36;107.3;61.5;2.9;274843;514;1788;86
"011212006000";"Powiat krakowski";"18";1006.7;3671;NA;3557;16.23;108.6;62.9;2.7;277145;691;1648;90
"011212006000";"Powiat krakowski";"19";1012.7;3631;NA;9553;16.06;106.4;64.1;2.3;279239;6955;7786;72
"011212006000";"Powiat krakowski";"20";973.9;3617;1;4366;15.07;104.8;0;3.3;295640;1283;2036;62
"011212006000";"Powiat krakowski";"21";994.1;3757;NA;3094;14.91;92.7;0;3.2;298107;649;1300;53
"011212006000";"Powiat krakowski";"22";878.8;4079;2;2968;14.75;95.2;0;2.8;300289;620;1182;51
"011212008000";"Powiat miechowski";"02";295.6;NA;NA;NA;NA;78.1;71.6;NA;51615;NA;NA;NA
"011212008000";"Powiat miechowski";"03";301.4;NA;NA;NA;NA;78.2;69.5;10.6;51560;NA;NA;NA
"011212008000";"Powiat miechowski";"04";341.1;3768;NA;NA;NA;78;68.1;9.6;51085;NA;NA;NA
"011212008000";"Powiat miechowski";"05";774.5;4061;NA;NA;23.12;78.5;66.2;8.7;50927;NA;NA;NA
"011212008000";"Powiat miechowski";"06";792.2;3971;NA;NA;23.07;78.5;65.4;7.2;50763;NA;NA;NA
"011212008000";"Powiat miechowski";"07";788.6;3550;NA;NA;23.09;78.4;64.2;5.3;50577;NA;NA;NA
"011212008000";"Powiat miechowski";"08";798.1;2984;NA;NA;23.09;77.6;63.6;4.6;50324;NA;NA;NA
"011212008000";"Powiat miechowski";"09";789.1;3163;NA;NA;23.07;79.3;63.2;6;50114;NA;NA;NA
"011212008000";"Powiat miechowski";"10";793;3111;NA;NA;23.62;81;62.7;6.5;50585;NA;NA;NA
"011212008000";"Powiat miechowski";"11";788.8;3066;NA;NA;23.62;78.2;63;7.7;50327;NA;NA;NA
"011212008000";"Powiat miechowski";"12";780.4;3111;NA;NA;23.64;78.1;62.8;7.9;50109;NA;NA;NA
"011212008000";"Powiat miechowski";"13";781.8;3157;NA;1069;23.68;76.9;63.2;8.3;49966;299;331;20
"011212008000";"Powiat miechowski";"14";762.8;1154;NA;913;23.74;77.3;63.9;6.6;49824;119;426;13
"011212008000";"Powiat miechowski";"15";745.1;2020;NA;791;23.67;76.8;64.6;6.2;49592;96;305;22
"011212008000";"Powiat miechowski";"16";743.4;1976;NA;792;23.77;75.7;66;4.7;49505;209;409;15
"011212008000";"Powiat miechowski";"17";795.7;1760;NA;799;23.72;75.9;67.4;3.9;49315;87;234;9
"011212008000";"Powiat miechowski";"18";798.6;1551;NA;649;23.71;76.5;68.6;3.2;49137;45;152;16
"011212008000";"Powiat miechowski";"19";804.5;1229;NA;589;23.7;77.7;70;2.8;48818;56;167;9
"011212008000";"Powiat miechowski";"20";851.9;1226;0;843;23.53;79.9;0;3.9;47756;143;245;7
"011212008000";"Powiat miechowski";"21";851;1166;NA;890;23.45;81.8;0;3.3;47346;268;425;13
"011212008000";"Powiat miechowski";"22";721.9;1083;0;748;23.46;80.8;0;3;46998;103;455;9
"011212009000";"Powiat myślenicki";"02";415.9;NA;NA;NA;NA;95.5;69.9;NA;114067;NA;NA;NA
"011212009000";"Powiat myślenicki";"03";434.2;NA;NA;NA;NA;90.7;67.3;11.1;114949;NA;NA;NA
"011212009000";"Powiat myślenicki";"04";692.1;3538;NA;NA;NA;89.1;65.5;10.3;115761;NA;NA;NA
"011212009000";"Powiat myślenicki";"05";710.1;2962;NA;NA;26.14;85.6;63.9;9;116484;NA;NA;NA
"011212009000";"Powiat myślenicki";"06";735.3;2692;NA;NA;26.02;78.2;62.4;6.5;117199;NA;NA;NA
"011212009000";"Powiat myślenicki";"07";730.3;2311;NA;NA;25.88;79.4;60.8;4.7;118066;NA;NA;NA
"011212009000";"Powiat myślenicki";"08";770.7;1813;NA;NA;25.76;79.2;59.5;4.7;119003;NA;NA;NA
"011212009000";"Powiat myślenicki";"09";778.3;1649;NA;NA;25.7;78.6;58.4;6.8;119975;NA;NA;NA
"011212009000";"Powiat myślenicki";"10";802.2;1629;NA;NA;25.7;80.1;57.8;7.5;121646;NA;NA;NA
"011212009000";"Powiat myślenicki";"11";775.5;1665;NA;NA;25.56;76.8;57.4;7.8;122599;NA;NA;NA
"011212009000";"Powiat myślenicki";"12";771.5;1689;NA;NA;25.41;74.8;57.2;8.3;123327;NA;NA;NA
"011212009000";"Powiat myślenicki";"13";762.5;1801;NA;1661;25.28;75.2;57.3;8;123991;171;835;34
"011212009000";"Powiat myślenicki";"14";770;1612;NA;1427;25.17;75;57.6;6.2;124482;304;672;28
"011212009000";"Powiat myślenicki";"15";743.5;1338;NA;1232;25.08;74.5;58.2;4.4;125020;172;554;22
"011212009000";"Powiat myślenicki";"16";743.3;1096;NA;1185;25.02;81.1;58.9;2.9;125647;177;524;27
"011212009000";"Powiat myślenicki";"17";794.5;937;NA;1126;24.9;82.7;59.9;1.8;126339;149;478;28
"011212009000";"Powiat myślenicki";"18";796.3;917;NA;1268;24.76;83.1;61;1.7;127028;162;433;35
"011212009000";"Powiat myślenicki";"19";796.1;728;NA;1502;24.63;82.7;62.1;1.5;127600;199;458;24
"011212009000";"Powiat myślenicki";"20";806.2;595;0;1341;23.92;81.9;0;2.5;129108;252;483;32
"011212009000";"Powiat myślenicki";"21";831.3;548;NA;1452;23.79;83.7;0;1.7;129391;513;666;20
"011212009000";"Powiat myślenicki";"22";751.7;625;0;1576;23.59;83.6;0;2;129538;520;788;25
"011212014000";"Powiat proszowicki";"02";329.2;NA;NA;NA;NA;77.8;68.2;NA;43721;NA;NA;NA
"011212014000";"Powiat proszowicki";"03";332.9;NA;NA;NA;NA;78.6;66.1;9.4;43659;NA;NA;NA
"011212014000";"Powiat proszowicki";"04";722.5;3527;NA;NA;NA;76.4;64.5;8.8;43605;NA;NA;NA
"011212014000";"Powiat proszowicki";"05";859.5;3426;NA;NA;14.28;80.2;63;8.2;43497;NA;NA;NA
"011212014000";"Powiat proszowicki";"06";896.1;2999;NA;NA;14.26;78;61.7;7;43470;NA;NA;NA
"011212014000";"Powiat proszowicki";"07";897.5;2698;NA;NA;14.18;78.9;61.2;5.4;43424;NA;NA;NA
"011212014000";"Powiat proszowicki";"08";906.6;2224;NA;NA;14.19;80.2;60.6;5.7;43361;NA;NA;NA
"011212014000";"Powiat proszowicki";"09";923.3;2200;NA;NA;14.15;81.9;59.7;7.2;43419;NA;NA;NA
"011212014000";"Powiat proszowicki";"10";949.6;2236;NA;NA;14.25;80.9;59.1;8;43987;NA;NA;NA
"011212014000";"Powiat proszowicki";"11";930.8;2240;NA;NA;17.97;79.9;59.3;7.7;43995;NA;NA;NA
"011212014000";"Powiat proszowicki";"12";931.4;2222;NA;NA;17.99;77.9;59;8.5;43945;NA;NA;NA
"011212014000";"Powiat proszowicki";"13";919.7;2250;NA;728;17.91;77.9;59.3;8.7;43864;58;402;17
"011212014000";"Powiat proszowicki";"14";939.2;2208;NA;390;17.83;79.4;59.9;7.5;43892;36;158;12
"011212014000";"Powiat proszowicki";"15";904.9;2155;NA;426;17.82;79.8;60.2;6.4;43716;67;148;9
"011212014000";"Powiat proszowicki";"16";912.6;1858;NA;485;17.72;79.4;61;5.5;43648;41;268;7
"011212014000";"Powiat proszowicki";"17";952.2;1979;NA;331;17.78;81.2;61.8;4.9;43658;31;132;12
"011212014000";"Powiat proszowicki";"18";967.5;1935;NA;389;17.68;80.4;63;4.3;43523;75;113;13
"011212014000";"Powiat proszowicki";"19";946.3;1934;NA;361;19.5;82.2;63.9;3.1;43222;34;142;5
"011212014000";"Powiat proszowicki";"20";984.6;1664;0;313;19.58;83.9;0;4;42760;29;100;10
"011212014000";"Powiat proszowicki";"21";967.7;1628;NA;334;19.48;82.8;0;3.5;42522;41;112;8
"011212014000";"Powiat proszowicki";"22";872.2;1712;0;330;19.34;83.2;0;3.5;42268;54;135;6
"011212019000";"Powiat wielicki";"02";651.9;NA;NA;NA;NA;92.5;64.7;NA;102636;NA;NA;NA
"011212019000";"Powiat wielicki";"03";679.6;NA;NA;NA;NA;91.5;62.2;9.6;103808;NA;NA;NA
"011212019000";"Powiat wielicki";"04";866.9;3093;NA;NA;NA;87.4;60.5;8.9;103676;NA;NA;NA
"011212019000";"Powiat wielicki";"05";890.4;2504;NA;NA;26.32;86.1;58.9;7.8;104788;NA;NA;NA
"011212019000";"Powiat wielicki";"06";925.7;2293;NA;NA;26.28;86.4;57.6;5.8;105943;NA;NA;NA
"011212019000";"Powiat wielicki";"07";919.8;2084;NA;NA;26.28;84.2;56.7;4.2;107305;NA;NA;NA
"011212019000";"Powiat wielicki";"08";986.6;1676;NA;NA;26.42;84.5;56.1;3.1;108767;NA;NA;NA
"011212019000";"Powiat wielicki";"09";993.5;1260;NA;NA;26.49;85.2;55.7;4.9;110400;NA;NA;NA
"011212019000";"Powiat wielicki";"10";1019.9;1550;NA;NA;26.74;87;55.6;5.4;113559;NA;NA;NA
"011212019000";"Powiat wielicki";"11";996.2;1464;NA;NA;26.86;88.4;55.8;5.7;115356;NA;NA;NA
"011212019000";"Powiat wielicki";"12";986.6;1348;NA;NA;26.94;89;56.3;6.3;116799;NA;NA;NA
"011212019000";"Powiat wielicki";"13";975.6;1432;NA;2186;27.11;89.7;56.7;6.5;118553;128;1054;44
"011212019000";"Powiat wielicki";"14";970.3;1473;NA;1652;27.38;91.4;57.5;4.9;120064;205;870;28
"011212019000";"Powiat wielicki";"15";936.4;1439;NA;1526;27.7;91.8;58.6;4.1;121534;274;757;26
"011212019000";"Powiat wielicki";"16";945.9;1327;NA;1486;27.94;91.9;59.6;3.7;123251;289;713;34
"011212019000";"Powiat wielicki";"17";998.9;1130;NA;1325;28.32;92;61.1;2.9;125197;207;574;47
"011212019000";"Powiat wielicki";"18";990.2;1025;NA;1667;28.64;92.5;62.1;2.8;127078;329;576;33
"011212019000";"Powiat wielicki";"19";993.7;953;NA;2224;28.97;92;63.4;2.6;129136;464;869;30
"011212019000";"Powiat wielicki";"20";949.6;937;0;2069;30.32;91.4;0;3.3;138515;616;879;26
"011212019000";"Powiat wielicki";"21";970.4;1055;NA;2066;30.58;89.5;0;2.7;140291;696;1135;34
"011212019000";"Powiat wielicki";"22";870.7;1172;0;2303;30.87;92.5;0;2.2;142044;398;1216;26
"011212161000";"Powiat m. Kraków";"02";911.7;NA;NA;NA;NA;102.7;51.8;NA;757547;NA;NA;NA
"011212161000";"Powiat m. Kraków";"03";942;NA;NA;NA;NA;100.4;50.9;6;757685;NA;NA;NA
"011212161000";"Powiat m. Kraków";"04";988.5;164661;NA;NA;NA;102.2;50.6;5.3;757430;NA;NA;NA
"011212161000";"Powiat m. Kraków";"05";960.3;154380;NA;NA;100;102.9;50.5;5;756629;NA;NA;NA
"011212161000";"Powiat m. Kraków";"06";1005.2;140677;NA;NA;100;104.4;50.7;4;756267;NA;NA;NA
"011212161000";"Powiat m. Kraków";"07";963.8;119633;NA;NA;100;104.5;50.8;2.9;756583;NA;NA;NA
"011212161000";"Powiat m. Kraków";"08";1027.2;98261;NA;NA;100;103.2;51.5;2.1;754624;NA;NA;NA
"011212161000";"Powiat m. Kraków";"09";1013.3;85999;NA;NA;100;103.3;52.4;3.2;755000;NA;NA;NA
"011212161000";"Powiat m. Kraków";"10";1058.2;83908;NA;NA;100;103.2;53.4;3.8;757740;NA;NA;NA
"011212161000";"Powiat m. Kraków";"11";1032.1;74517;NA;NA;100;102.7;54.5;3.9;759137;NA;NA;NA
