"nr","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"63","FIN","2020",1.37,85.517,,,,2243000,,101.47,92.7918457423094,50100,"Finland",5529543
"64","FJI","2020",2.495,57.247,,,,76800,,114.43,97.7186197916667,4680,"Fiji",920422
"65","FRA","2020",1.83,80.975,,,,17956560,,98.21,168.992390524688,39440,"France",67571107
"66","FRO","2020",2.3,42.398,,,,70,,89.28,,,"Faroe Islands",52415
"67","FSM","2020",2.754,22.933,,,,2000,,104.94,,4070,"Micronesia, Fed. Sts.",112106
"68","GAB","2020",3.548,90.092,,,,325000,,101.91,21.2727076923077,6830,"Gabon",2292573
"69","GBR","2020",1.56,83.903,,,,5978502.2,13.9724397659302,105.94,233.168769261304,38590,"United Kingdom",67081000
"70","GEO","2020",1.971,59.453,,,,310000,,102.79,178.197064516129,4260,"Georgia",3722716
"71","GHA","2020",3.623,57.349,,,,2513400,,115.98,107.424206254476,2230,"Ghana",32180401
"72","GIB","2020",1.855,100,,,,,,,,,"Gibraltar",32709
"73","GIN","2020",4.489,36.875,,,,3100000,,125.2,6.85734516129032,960,"Guinea",13205153
"74","GMB","2020",4.777,62.582,,,,440000,,101.28,0.780136363636364,700,"Gambia, The",2573995
"75","GNB","2020",4.094,44.196,,,,300000,,105.39,,740,"Guinea-Bissau",2015828
"76","GNQ","2020",4.346,73.1,,,,138600,,111.92,,5100,"Equatorial Guinea",1596049
"77","GRC","2020",1.34,79.715,,,,2131930.4,5.44613981246948,96.32,149.965078597313,17960,"Greece",10698599
"78","GRD","2020",2.023,36.537,,,,3000,,147.86,,7880,"Grenada",123663
"79","GRL","2020",2.019,87.282,,,,,,,,,"Greenland",56367
"80","GTM","2020",2.484,51.836,,,,862000,,112.92,427.428341067285,4490,"Guatemala",16858333
"81","GUM","2020",2.593,94.938,,,,1000,,,,,"Guam",169231
"82","GUY","2020",2.418,26.786,,,,420000,,139.48,52.7369285714286,8190,"Guyana",797202
"83","HKG","2020",0.868,100,,,,2000,,245.78,,48550,"Hong Kong SAR, China",7481000
"84","HND","2020",2.394,58.359,,,,1020000,,104.22,157.141656862745,2150,"Honduras",10121763
"85","HRV","2020",1.48,57.553,,,,889000,,101.1,199.725534308211,14820,"Croatia",4047680
"86","HTI","2020",2.869,57.088,,,,1070000,,99.87,,1330,"Haiti",11306801
"87","HUN","2020",1.56,71.942,,,,4012000,10.8749799728394,100.45,163.047607178465,16030,"Hungary",9750149
"88","IDN","2020",2.194,56.641,,,,26300000,0.487870007753372,174.92,248.200776425856,3900,"Indonesia",271857970
"89","IMN","2020",1.569,52.898,,,,23500,,,,,"Isle of Man",84046
"90","IND","2020",2.051,34.926,,,,155369076.4,3.10999989509583,116.45,209.408466304045,1890,"India",1396387127
"91","INX","2020",,,,,,,,,,,"Not classified",
"92","IRL","2020",1.63,63.653,,,,444000,,120.42,1563.34990990991,65330,"Ireland",4985382
"93","IRN","2020",1.708,75.874,,,,15645000,,109.72,68.5251434963247,3290,"Iran, Islamic Rep.",87290193
"94","IRQ","2020",3.551,70.893,,,,5000000,,112.1,54.834688,4720,"Iraq",42556984
"95","ISL","2020",1.72,93.898,,,,121000,18.4630603790283,103.22,130.099173553719,62280,"Iceland",366463
"96","ISR","2020",2.9,92.587,,,,380000,,108.1,139.736842105263,43310,"Israel",9215100
"97","ITA","2020",1.24,71.039,,,,6831000,13.5150804519653,104.82,136.256000585566,32410,"Italy",59438851
"98","JAM","2020",1.358,56.311,,,,120000,,104.42,65.2854166666667,4900,"Jamaica",2820436
"99","JOR","2020",2.873,91.418,,,,206000,1.53386998176575,112.58,84.7864077669903,4070,"Jordan",10928721
"100","JPN","2020",1.34,91.782,,,,4104000,,104.01,238.182261208577,40810,"Japan",126261000
"101","KAZ","2020",3.13,57.671,,,,29553200,,119.23,5.57469241909506,8710,"Kazakhstan",18755666
"102","KEN","2020",3.397,27.995,,,,5800000,,94.22,65.2202603448276,1900,"Kenya",51985780
"103","KGZ","2020",3,36.856,,,,1287400,,111.67,22.6464191393506,1180,"Kyrgyz Republic",6579900
"104","KHM","2020",2.381,24.232,,,,3876000,,58.45,46.6882301341589,1530,"Cambodia",16396860
"105","KIR","2020",3.333,55.594,,,,2000,,108.85,,2740,"Kiribati",126463
"106","KNA","2020",,30.843,,,,5000,,65.99,5.196,19420,"St. Kitts and Nevis",47642
