"name","year","elecons","allowances","crimes","urban","wages","nonworking","pop","detect"
"Powiat pruszkowski","2022",1010.3,6825,3483,57.76,112.1,0,178037,53.6
"Powiat warszawski zachodni","2022",1071.1,727,2610,34.1,105.5,0,133217,48.1
"Powiat ciechanowski","2022",710.8,10618,1859,52.31,92.7,0,85627,68.5
"Powiat mławski","2022",751.2,4483,1334,44.35,80.3,0,69521,70.8
"Powiat płoński","2022",789.6,3426,2161,35.63,84.4,0,84387,70.1
"Powiat pułtuski","2022",758.7,5644,1788,38.02,82.1,0,50557,80.5
"Powiat żuromiński","2022",822.3,1504,404,32.68,80.4,0,35882,85.5
"Powiat makowski","2022",920.4,2853,899,27.64,81.9,0,42109,86
"Powiat ostrołęcki","2022",865.2,308,886,3.68,84.4,0,87503,72.9
"Powiat ostrowski","2022",880.7,2933,1471,33.93,85.4,0,68881,69.3
"Powiat przasnyski","2022",906.1,1874,945,39.1,85.8,0,49408,83
"Powiat wyszkowski","2022",804.2,2251,1256,35.52,82.8,0,73562,59.6
"Powiat m. Ostrołęka","2022",610.9,6533,1422,100,99.5,0,48712,75.3
"Powiat białobrzeski","2022",771.6,498,592,22.48,83,0,32614,76.6
"Powiat kozienicki","2022",769.3,1577,801,27.4,108.5,0,57523,70.5
"Powiat lipski","2022",650.9,426,422,18.75,83.4,0,31839,66.7
"Powiat przysuski","2022",700.3,191,459,13.82,83,0,39031,60.8
"Powiat radomski","2022",652.3,3424,1730,19.2,80.7,0,151202,64.3
"Powiat szydłowiecki","2022",614.9,708,464,28.24,78.6,0,37791,66.2
"Powiat zwoleński","2022",649.3,690,525,20.96,84.1,0,34535,75.6
"Powiat m. Radom","2022",684,22686,4626,100,92.2,0,197848,60.7
"Powiat gostyniński","2022",720.2,3482,760,44.46,86.6,0,42633,66.4
"Powiat płocki","2022",777,1207,1516,8.36,86.1,0,109735,70.8
"Powiat sierpecki","2022",756.5,4667,1312,35,82.1,0,48639,84.8
"Powiat m. Płock","2022",624.4,22347,2676,100,117.8,0,112483,67.3
"Powiat garwoliński","2022",774.4,1720,1359,28.4,85,0,105620,79.9
"Powiat łosicki","2022",810,667,542,23.79,80,0,28941,67.3
"Powiat siedlecki","2022",831.4,131,939,1.99,80.7,0,80492,65
"Powiat sokołowski","2022",852.5,965,900,40.39,81.4,0,50618,71
"Powiat węgrowski","2022",842.9,2983,1420,29.56,86.3,0,62271,70.6
"Powiat m. Siedlce","2022",701,9560,1464,100,93,0,75623,64.5
"Powiat grójecki","2022",977,2452,2130,35.45,93.2,0,97395,66.4
"Powiat sochaczewski","2022",879.1,4292,1989,40.44,104.3,0,83333,69.4
"Powiat żyrardowski","2022",887.1,7533,1637,61.48,95.5,0,75414,52.4
