"name","year","elecons","allowances","crimes","urban","wages","nonworking","pop","detect"
"Powiat ostrzeszowski","2022",682,2692,655,31.84,81.7,0,54638,76.4
"Powiat pleszewski","2022",732.9,5754,750,34.51,82.9,0,61523,78.4
"Powiat m. Kalisz","2022",711.5,27823,3435,100,86.2,0,93973,64.3
"Powiat gnieźnieński","2022",766.8,19866,2818,59.38,84,0,141748,69.4
"Powiat kolski","2022",697.8,5840,1341,35.15,89.1,0,82104,77.8
"Powiat koniński","2022",715.7,1413,1367,13.24,74.4,0,128883,78
"Powiat słupecki","2022",733.4,3592,822,27.59,81.3,0,57554,88.9
"Powiat turecki","2022",649.3,4340,1656,35.89,75.3,0,81377,89.5
"Powiat wrzesiński","2022",848.1,6480,1293,53.85,85.9,0,78176,79.4
"Powiat m. Konin","2022",645.6,12028,1924,100,88.2,0,68112,70
"Powiat gostyński","2022",806.4,3544,1319,43.15,85.6,0,73899,93.1
"Powiat grodziski","2022",818.4,3379,891,39.58,81.9,0,51626,75.7
"Powiat kościański","2022",790.6,7613,1111,46.42,88.5,0,77404,88.3
"Powiat leszczyński","2022",878.5,441,564,8.97,89.5,0,59531,74.7
"Powiat międzychodzki","2022",890.3,2573,576,44.45,83.8,0,35769,83.5
"Powiat nowotomyski","2022",816.3,2271,1205,44.04,85.8,0,75182,85.6
"Powiat rawicki","2022",786.7,2817,1110,47.11,79,0,58867,81.4
"Powiat wolsztyński","2022",922.9,2237,669,21.3,84,0,56743,73.4
"Powiat m. Leszno","2022",714,6451,1729,100,87,0,60642,84.6
"Powiat chodzieski","2022",740.6,3617,1016,64.06,82.7,0,45476,89.2
"Powiat czarnkowsko-trzcianecki","2022",785.8,5810,1426,45.59,86.6,0,84020,86.8
"Powiat pilski","2022",710.5,11198,3159,66.47,89.5,0,131265,76.2
"Powiat wągrowiecki","2022",819.7,5608,1281,48.38,79.3,0,69039,82.4
"Powiat złotowski","2022",708.8,10008,926,49.96,74,0,67589,79
"Powiat obornicki","2022",805.5,3632,1220,47.9,86.8,0,58988,81.4
"Powiat poznański","2022",886.9,10913,5743,30.48,85.6,0,442680,51.5
"Powiat szamotulski","2022",882.5,4589,2193,45.11,94.1,0,91649,83.3
"Powiat średzki","2022",855.6,2041,1154,40.67,90.6,0,59847,87.1
"Powiat śremski","2022",761.4,5297,899,53.03,80.2,0,61115,86.6
"Powiat m. Poznań","2022",877.7,43698,15374,100,109.8,0,541316,38.6
"Powiat białogardzki","2022",674.4,6663,1082,68.21,85.7,0,44771,78.4
"Powiat kołobrzeski","2022",796,5436,1626,60.15,83.3,0,77087,52.2
"Powiat koszaliński","2022",824.7,2196,1490,23.97,83.5,0,66364,54.9
"Powiat sławieński","2022",759,3679,1024,46.06,78.4,0,53384,66
"Powiat m. Koszalin","2022",677.8,15910,2273,100,90.3,0,104239,55.4
"Powiat choszczeński","2022",678.5,3785,885,47.64,83.1,0,44818,75.7
"Powiat drawski","2022",641.6,10180,1211,63.53,79.4,0,53960,71.1
"Powiat myśliborski","2022",749.1,4845,1378,58.36,84.6,0,62668,69.9
"Powiat pyrzycki","2022",677.7,2478,686,42.82,84.9,0,36785,75
"Powiat szczecinecki","2022",650.7,9713,1093,66.03,86.5,0,73308,72.8
"Powiat świdwiński","2022",619.4,5529,773,50.42,78.1,0,43577,73
"Powiat wałecki","2022",676.3,4911,876,61.04,87.8,0,50388,69.1
"Powiat łobeski","2022",666,2516,676,53.82,84,0,33762,60.2
"Powiat m. Szczecin","2022",786.5,29487,10954,100,103.6,0,391566,61.6
"Powiat goleniowski","2022",769.5,3615,2048,53.17,89.3,0,81486,73.8
"Powiat gryficki","2022",804.9,5620,1727,50.44,80,0,56961,58.9
"Powiat gryfiński","2022",765.7,3467,1498,46.15,87.7,0,77567,69.5
"Powiat kamieński","2022",1037,2619,969,51.46,79.4,0,44449,59
"Powiat policki","2022",834.3,3273,1112,36.62,98.8,0,84924,65.5
"Powiat stargardzki","2022",710.6,9054,2174,63.18,83.6,0,119190,61.6
"Powiat m. Świnoujście","2022",742.5,3399,1094,100,90.4,0,39368,51.9
"Powiat bolesławiecki","2022",861.4,4339,2947,47.1,92.2,0,87922,59.5
"Powiat jaworski","2022",795.9,2583,1180,53.6,91.6,0,47584,78.2
"Powiat karkonoski","2022",1107.6,3411,1825,42.45,83.9,0,61016,59.3
"Powiat kamiennogórski","2022",790.3,3470,820,56.37,82.8,0,40786,80.3
"Powiat lubański","2022",852.6,3907,1687,61.89,82.3,0,51886,46.7
"Powiat lwówecki","2022",863.7,3052,1511,49.73,83.2,0,43157,82.8
"Powiat zgorzelecki","2022",874.5,4836,3260,66.95,89.2,0,85898,47.7
"Powiat złotoryjski","2022",805,3362,1349,48.47,93,0,40929,66
"Powiat m. Jelenia Góra","2022",823.1,4435,3628,100,93.7,0,75794,65.7
"Powiat głogowski","2022",709.2,7028,2455,73.39,87.3,0,85689,69.4
"Powiat górowski","2022",704.2,2106,1168,41.09,80.9,0,32738,77.6
"Powiat legnicki","2022",896.5,2472,1840,29.03,91.2,0,55032,48.6
"Powiat lubiński","2022",733.3,6987,3206,71.27,169.4,0,103426,60
"Powiat polkowicki","2022",742.2,4541,2513,56.38,102.3,0,61308,70.3
"Powiat m. Legnica","2022",777,10198,3978,100,90.5,0,93040,48.2
"Powiat dzierżoniowski","2022",780.3,10797,1848,78.16,85.4,0,95863,78.7
"Powiat kłodzki","2022",858.7,15328,3305,63.25,84.6,0,148681,71
"Powiat świdnicki","2022",847.2,7397,3612,67.44,90.4,0,151248,65.3
"Powiat wałbrzyski","2022",885.9,4932,2139,64.07,81,0,53115,77.7
"Powiat ząbkowicki","2022",793.4,3062,952,51.62,83.7,0,61087,74.8
"Powiat m. Wałbrzych od 2013","2022",764.1,17292,3177,100,100.4,0,101857,75.8
"Powiat milicki","2022",790.7,787,614,30.31,79.2,0,35826,72.6
"Powiat oleśnicki","2022",831.1,7274,2016,54.81,85.9,0,106481,67.6
"Powiat oławski","2022",843.4,4791,1553,62.43,89.9,0,77300,64
"Powiat strzeliński","2022",848,4369,985,33.97,94.3,0,41990,72.1
"Powiat średzki","2022",981.2,528,1464,16.33,94.2,0,58508,71.2
"Powiat trzebnicki","2022",946.1,2830,1386,35.61,87.3,0,87287,75.3
"Powiat wołowski","2022",760.7,2122,856,53.93,117.9,0,45728,68.9
"Powiat wrocławski","2022",1052.5,1782,3164,13.6,106.8,0,182778,42.1
"Powiat m. Wrocław","2022",914,30341,23516,100,110.2,0,674079,39.4
"Powiat brzeski","2022",811.9,7359,1867,54.63,85.4,0,86730,67.4
"Powiat głubczycki","2022",786.5,1796,610,46.77,89.2,0,43065,68.9
"Powiat namysłowski","2022",827.4,2506,707,40.11,86.9,0,42155,79.3
"Powiat nyski","2022",847.9,6139,2311,53.11,85.3,0,129353,70.7
"Powiat prudnicki","2022",892.6,5152,884,52.02,81.5,0,51910,84.6
"Powiat kędzierzyńsko-kozielski","2022",849.1,6846,1402,63.41,100.8,0,87011,67.6
"Powiat kluczborski","2022",769,5691,1122,50.26,84.7,0,61714,69.6
"Powiat krapkowicki","2022",838.3,2993,889,53.57,95.8,0,59963,59.8
"Powiat oleski","2022",758.4,2003,1000,35.99,82.4,0,61662,80.6
"Powiat opolski","2022",980.9,2064,1364,16.73,85.6,0,120762,65.7
"Powiat strzelecki","2022",801.2,3667,973,43.48,90.7,0,71658,61.7
"Powiat m. Opole","2022",856.1,8094,3263,100,97.8,0,126458,46.2
"Powiat bydgoski","2022",925.5,6167,1768,20.82,86.4,0,125436,68.4
"Powiat toruński","2022",923,6644,2093,12.18,81.2,0,113565,73.5
"Powiat m. Bydgoszcz","2022",693.9,41587,8711,100,96,0,330038,70.6
"Powiat m. Toruń","2022",691.9,19046,5657,100,96.2,0,195690,68.3
"Powiat brodnicki","2022",827.7,4785,1137,42.9,77.2,0,78057,85.1
"Powiat chełmiński","2022",700.7,4028,931,36.98,79.6,0,49562,74.9
"Powiat golubsko-dobrzyński","2022",828.3,9599,859,35.63,89.7,0,43547,81.3
"Powiat grudziądzki","2022",852.4,3464,375,12.43,82.4,0,39162,60.9
"Powiat rypiński","2022",781.1,4778,596,37.47,76.7,0,41404,79
"Powiat wąbrzeski","2022",772.4,4631,3091,39.84,84.3,0,32756,76.1
"Powiat m. Grudziądz","2022",590.7,22305,2095,100,79,0,89450,64.9
"Powiat aleksandrowski","2022",810.6,3081,1135,43.83,78.4,0,53736,75.9
"Powiat lipnowski","2022",779.9,3676,961,29.99,73.2,0,63051,72.1
"Powiat radziejowski","2022",857.6,1625,432,24.53,78.3,0,38173,77.1
"Powiat włocławski","2022",782.7,2363,952,19.53,78.9,0,82599,57.5
"Powiat m. Włocławek","2022",610.3,12474,5320,100,87.9,0,102102,68.2
"Powiat inowrocławski","2022",733,20868,2869,64.11,84.3,0,151925,75.5
"Powiat mogileński","2022",818.9,5160,458,37.39,81.8,0,43853,77.2
"Powiat nakielski","2022",756.1,9723,1932,42.13,88.1,0,83148,82.1
"Powiat żniński","2022",780,7886,978,41.77,77.1,0,67936,80
"Powiat sępoleński","2022",740.9,3422,705,43.09,78,0,39218,67.8
"Powiat świecki","2022",757.7,10038,1580,34.79,86.4,0,95359,68.8
"Powiat tucholski","2022",734.7,4184,689,27.88,77,0,47109,66.5
"Powiat gdański","2022",802.7,7207,2570,24.64,96.4,0,129983,58.7
"Powiat kartuski","2022",833.3,8491,3491,13.58,84.3,0,151934,65.4
"Powiat nowodworski","2022",871.1,3480,655,31.58,85.7,0,33815,70.2
"Powiat pucki","2022",936.9,4296,1744,28.01,87.9,0,90942,65
"Powiat wejherowski","2022",770.8,8938,5666,56.1,82.9,0,227406,63.9
"Powiat bytowski","2022",623.9,3288,1241,33.85,88.9,0,76715,82.7
"Powiat lęborski","2022",696.2,4822,1542,58.31,88.3,0,63900,58.9
"Powiat słupski","2022",742.3,3964,1577,17.93,83.9,0,96231,76
"Powiat m. Słupsk","2022",685.2,7032,3063,100,88.1,0,86365,66.6
"Powiat kwidzyński","2022",611.9,5688,1354,56.23,87.1,0,80636,76.5
"Powiat malborski","2022",630.7,8542,1184,67.28,79.6,0,61012,68.6
"Powiat starogardzki","2022",686.4,14736,2416,46.61,95.9,0,125437,66.7
"Powiat tczewski","2022",637.4,15669,2182,63.39,91,0,111755,66.9
"Powiat sztumski","2022",605.4,5604,548,36.79,83.5,0,38678,72.2
"Powiat m. Gdańsk","2022",805.8,48901,15464,100,117.5,0,486345,41.8
"Powiat m. Gdynia","2022",780.2,22182,5068,100,104.2,0,242874,57.4
"Powiat m. Sopot","2022",1012.1,2122,1598,100,114.9,0,32276,58.4
"Powiat chojnicki","2022",712.2,11742,1438,56.09,81,0,96218,76.7
"Powiat człuchowski","2022",641.5,6507,735,44.27,83.7,0,53558,69.5
"Powiat kościerski","2022",733.5,7043,1295,32.41,81.4,0,72227,77.5
"Powiat braniewski","2022",697.3,4259,735,54.88,80.1,0,37851,77.1
"Powiat działdowski","2022",648.2,4483,1207,44.68,78.6,0,61917,75.9
"Powiat elbląski","2022",713.6,2233,828,29.29,77.6,0,54615,63.7
"Powiat iławski","2022",760.6,4517,2021,57.94,75.8,0,90218,74.3
"Powiat nowomiejski","2022",896.5,1922,677,24.2,69.6,0,42209,86.5
"Powiat ostródzki","2022",718.6,6126,1992,49.44,80.6,0,99744,67.7
"Powiat m. Elbląg","2022",602.5,19788,2884,100,88,0,113567,61.4
"Powiat ełcki","2022",752.1,5655,1501,67.78,78.1,0,88621,82.5
"Powiat giżycki","2022",833.3,7038,959,56.1,82,0,54016,68.4
"Powiat olecki","2022",868,4260,578,49.01,80.5,0,32222,86.8
"Powiat piski","2022",819.1,7584,908,59.01,83.2,0,52537,79.6
"Powiat gołdapski","2022",708.1,6383,1356,52.82,76.6,0,25147,88.7
"Powiat węgorzewski","2022",823.7,3000,317,50.66,79.6,0,21062,79
"Powiat bartoszycki","2022",644.4,11044,877,55.27,80.7,0,53220,77.5
"Powiat kętrzyński","2022",654.1,9693,1007,58.09,78.2,0,57792,81.7
"Powiat lidzbarski","2022",706.8,6241,563,58.97,76.9,0,38539,74.6
"Powiat mrągowski","2022",806.4,7001,709,50.6,79,0,47861,68.3
"Powiat nidzicki","2022",668,3246,960,41.6,76.5,0,30666,80.1
"Powiat olsztyński","2022",833.3,7879,1721,28.6,87.5,0,129555,66.5
"Powiat szczycieński","2022",741.1,2917,1217,41.05,82.1,0,66859,71
"Powiat m. Olsztyn","2022",670.6,17971,4178,100,97,0,168212,59.8
"Powiat łódzki wschodni","2022",1015.3,1682,1115,30.6,81.7,0,74361,62.6
"Powiat pabianicki","2022",956.9,4388,1928,68.8,84.3,0,119316,61.7
"Powiat zgierski","2022",1023.2,9712,3208,66.64,89.8,0,166537,68.3
"Powiat brzeziński","2022",914.7,997,612,39.66,78.5,0,30246,70.7
"Powiat m. Łódź","2022",855.2,90984,15694,100,98.9,0,658444,39.1
"Powiat bełchatowski","2022",706.9,6205,1765,55.03,121.4,0,109035,79.1
"Powiat opoczyński","2022",610.4,1450,1284,31.53,81.5,0,72310,83.4
"Powiat piotrkowski","2022",854.2,1206,1526,9.13,78.7,0,90519,89
